Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,95.01,0.47,,151.05,0.67,,82.02,0.53,,,41.43,0.35,,57.15,0.41,,48.36,0.33
,,,96.2,0.47,,152.86,0.67,,83.16,0.54,,,42.03,0.35,,57.93,0.41,,49.04,0.33
,,,97.39,0.47,,154.67,0.68,,84.31,0.54,,,42.63,0.36,,58.71,0.41,,49.71,0.33
,,,98.59,0.48,,156.48,0.68,,85.46,0.54,,,43.24,0.36,,59.48,0.42,,50.39,0.34
,,,99.78,0.48,,158.29,0.68,,86.61,0.55,,,43.84,0.36,,60.26,0.42,,51.07,0.34
,,,100.98,0.48,,160.09,0.69,,87.76,0.55,,,44.44,0.36,,61.04,0.42,,51.75,0.34
,,,102.17,0.48,,161.9,0.69,,88.91,0.55,,,45.05,0.36,,61.82,0.42,,52.43,0.34
,,,103.37,0.48,,163.71,0.69,,90.06,0.55,,,45.65,0.37,,62.6,0.43,,53.1,0.34
,,,104.56,0.48,,165.52,0.7,,91.21,0.56,,,46.25,0.37,,63.38,0.43,,53.78,0.35
,,,105.76,0.49,,167.33,0.7,,92.36,0.56,,,46.85,0.37,,64.16,0.43,,54.46,0.35
,,,106.95,0.49,,169.14,0.7,,93.51,0.56,,,47.46,0.37,,64.94,0.43,,55.14,0.35
,,,108.14,0.49,,170.95,0.7,,94.66,0.57,,,48.06,0.37,,65.71,0.43,,55.81,0.35
,,,109.34,0.49,,172.76,0.71,,95.81,0.57,,,48.66,0.38,,66.49,0.44,,56.49,0.35
,,,110.53,0.49,,174.57,0.71,,96.96,0.57,,,49.27,0.38,,67.27,0.44,,57.17,0.36
,,,111.73,0.49,,176.38,0.71,,98.11,0.57,,,49.87,0.38,,68.05,0.44,,57.85,0.36
,,,112.92,0.5,,178.19,0.72,,99.26,0.58,,,50.47,0.38,,68.83,0.44,,58.53,0.36
,,,114.12,0.5,,180,0.72,,100.41,0.58,,,51.08,0.38,,69.61,0.45,,59.2,0.36
,,,115.31,0.5,,181.81,0.72,,101.56,0.58,,,51.68,0.39,,70.39,0.45,,59.88,0.36
,,,116.5,0.5,,183.62,0.72,,102.71,0.59,,,52.28,0.39,,71.16,0.45,,60.56,0.36
,,,117.7,0.5,,185.43,0.73,,103.86,0.59,,,52.89,0.39,,71.94,0.45,,61.24,0.37
,,,118.89,0.5,,187.24,0.73,,105.01,0.59,,,53.49,0.39,,72.72,0.46,,61.91,0.37
,,,120.09,0.51,,189.05,0.73,,106.16,0.6,,,54.09,0.39,,73.5,0.46,,62.59,0.37
,,,121.28,0.51,,190.85,0.73,,107.31,0.6,,,54.69,0.4,,74.28,0.46,,63.27,0.37
