Machine Name ,Perkin-Elmer Spectrum 100,,P35,,,P40,,,P45,
,Attenuated total reflectance mode in the region of 4000?650 cm?1. 16 scans were done with a resolution of 4 cm?1,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance 
,,,3828,99.29,,3828,149.34,,3828,205.09
,,,3827,99.29,,3827,149.33,,3827,205.08
,,,3826,99.29,,3826,149.34,,3826,205.08
,,,3825,99.28,,3825,149.34,,3825,205.07
,,,3824,99.27,,3824,149.34,,3824,205.07
,,,3823,99.26,,3823,149.34,,3823,205.07
,,,3822,99.27,,3822,149.33,,3822,205.08
,,,3821,99.27,,3821,149.32,,3821,205.08
,,,3820,99.27,,3820,149.33,,3820,205.08
,,,3819,99.27,,3819,149.34,,3819,205.09
,,,3818,99.28,,3818,149.35,,3818,205.1
,,,3817,99.29,,3817,149.36,,3817,205.1
,,,3816,99.3,,3816,149.36,,3816,205.09
,,,3815,99.31,,3815,149.38,,3815,205.08
,,,3814,99.31,,3814,149.39,,3814,205.08
,,,3813,99.32,,3813,149.39,,3813,205.09
,,,3812,99.32,,3812,149.39,,3812,205.09
,,,3811,99.32,,3811,149.4,,3811,205.09
,,,3810,99.32,,3810,149.4,,3810,205.08
,,,3809,99.32,,3809,149.39,,3809,205.09
,,,3808,99.32,,3808,149.39,,3808,205.1
,,,3807,99.33,,3807,149.39,,3807,205.11
,,,3806,99.33,,3806,149.4,,3806,205.11
,,,3805,99.32,,3805,149.4,,3805,205.12
,,,3804,99.32,,3804,149.41,,3804,205.14
,,,3803,99.33,,3803,149.41,,3803,205.15
,,,3802,99.34,,3802,149.4,,3802,205.14
,,,3801,99.33,,3801,149.39,,3801,205.13
,,,3800,99.33,,3800,149.38,,3800,205.11
,,,3799,99.32,,3799,149.38,,3799,205.11
,,,3798,99.32,,3798,149.38,,3798,205.12
,,,3797,99.33,,3797,149.37,,3797,205.12
,,,3796,99.33,,3796,149.38,,3796,205.11
,,,3795,99.33,,3795,149.39,,3795,205.11
,,,3794,99.33,,3794,149.41,,3794,205.12
,,,3793,99.34,,3793,149.42,,3793,205.13
,,,3792,99.34,,3792,149.43,,3792,205.13
,,,3791,99.34,,3791,149.43,,3791,205.13
,,,3790,99.34,,3790,149.43,,3790,205.13
,,,3789,99.34,,3789,149.43,,3789,205.13
,,,3788,99.34,,3788,149.43,,3788,205.13
,,,3787,99.34,,3787,149.43,,3787,205.13
,,,3786,99.34,,3786,149.42,,3786,205.12
,,,3785,99.34,,3785,149.41,,3785,205.12
,,,3784,99.34,,3784,149.41,,3784,205.12
,,,3783,99.35,,3783,149.42,,3783,205.12
,,,3782,99.36,,3782,149.43,,3782,205.13
,,,3781,99.37,,3781,149.43,,3781,205.14
,,,3780,99.37,,3780,149.42,,3780,205.14
,,,3779,99.36,,3779,149.41,,3779,205.13
,,,3778,99.35,,3778,149.41,,3778,205.11
,,,3777,99.33,,3777,149.4,,3777,205.1
,,,3776,99.32,,3776,149.41,,3776,205.09
,,,3775,99.32,,3775,149.41,,3775,205.08
,,,3774,99.32,,3774,149.42,,3774,205.08
,,,3773,99.33,,3773,149.43,,3773,205.08
,,,3772,99.34,,3772,149.43,,3772,205.1
,,,3771,99.36,,3771,149.43,,3771,205.11
,,,3770,99.36,,3770,149.42,,3770,205.11
,,,3769,99.35,,3769,149.41,,3769,205.1
,,,3768,99.34,,3768,149.4,,3768,205.1
,,,3767,99.33,,3767,149.39,,3767,205.09
,,,3766,99.32,,3766,149.38,,3766,205.08
,,,3765,99.32,,3765,149.38,,3765,205.08
,,,3764,99.31,,3764,149.38,,3764,205.07
,,,3763,99.31,,3763,149.39,,3763,205.07
,,,3762,99.31,,3762,149.39,,3762,205.08
,,,3761,99.31,,3761,149.38,,3761,205.07
,,,3760,99.31,,3760,149.37,,3760,205.06
,,,3759,99.31,,3759,149.35,,3759,205.06
,,,3758,99.31,,3758,149.35,,3758,205.06
,,,3757,99.31,,3757,149.35,,3757,205.06
,,,3756,99.31,,3756,149.36,,3756,205.06
,,,3755,99.3,,3755,149.36,,3755,205.05
,,,3754,99.28,,3754,149.36,,3754,205.04
,,,3753,99.25,,3753,149.35,,3753,205.01
,,,3752,99.22,,3752,149.33,,3752,204.98
,,,3751,99.21,,3751,149.31,,3751,204.98
,,,3750,99.21,,3750,149.31,,3750,204.99
,,,3749,99.22,,3749,149.33,,3749,205.01
,,,3748,99.22,,3748,149.35,,3748,205.02
,,,3747,99.23,,3747,149.36,,3747,205.02
,,,3746,99.23,,3746,149.36,,3746,205.02
,,,3745,99.25,,3745,149.36,,3745,205.01
,,,3744,99.26,,3744,149.38,,3744,204.99
,,,3743,99.27,,3743,149.39,,3743,205.01
,,,3742,99.28,,3742,149.39,,3742,205.03
,,,3741,99.3,,3741,149.39,,3741,205.06
