HSP,Healing_Time,Replica_Set,Max_Strain,Max_Stress,HE_Elongation_Mean,HE_UTS_Mean,Peak_logM,Molecular_Weight,Contact_Angle_Mean,Contact_Angle_Std
0.4,0.33,3-7,1357.37,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-8,1355.99,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-9,1354.6,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-1,1596.29,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-10,1581.78,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-2,1594.68,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-3,1593.06,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-4,1591.45,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-5,1589.84,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-6,1588.23,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-7,1586.61,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-8,1585.0,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,1-9,1583.39,0.42,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-1,1621.17,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-10,1606.39,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-2,1619.55,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-3,1617.9,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-4,1616.23,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-5,1614.57,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-6,1612.93,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-7,1611.3,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-8,1609.66,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,2-9,1608.03,0.33,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-1,1085.73,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-10,1075.83,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-2,1084.63,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-3,1083.53,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-4,1082.43,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-5,1081.33,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-6,1080.23,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-7,1079.13,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-8,1078.03,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,3-9,1076.93,0.39,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-1,1481.62,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-10,1467.99,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-2,1480.1,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-3,1478.59,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-4,1477.07,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-5,1475.56,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-6,1474.05,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-7,1472.53,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-8,1471.02,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,1.0,4-9,1469.5,0.36,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-1,1623.04,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-10,1608.21,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-2,1621.39,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-3,1619.74,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-4,1618.09,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-5,1616.45,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-6,1614.8,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-7,1613.15,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-8,1611.5,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,1-9,1609.85,0.47,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-1,1674.07,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-10,1658.83,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-2,1672.38,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-3,1670.68,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-4,1668.99,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-5,1667.3,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-6,1665.6,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-7,1663.91,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-8,1662.22,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,2-9,1660.53,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-1,1847.53,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-10,1830.76,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-2,1845.66,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-3,1843.8,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-4,1841.94,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-5,1840.07,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-6,1838.21,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-7,1836.35,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-8,1834.48,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,3-9,1832.62,0.39,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-1,1646.98,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-10,1631.85,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-2,1645.3,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-3,1643.62,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-4,1641.94,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-5,1640.25,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-6,1638.57,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-7,1636.89,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-8,1635.21,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,3.0,4-9,1633.53,0.33,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595
0.45,0.0,1-1,1482.42,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-10,1468.9,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-2,1480.92,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-3,1479.42,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
