Machine Name,Lloyd LRX ,,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,81.79,2.06,,82.38,3.13,,79.6,2.4
,,,82.1,2.07,,82.73,3.13,,79.9,2.41
,,,82.4,2.07,,83.08,3.13,,80.19,2.41
,,,82.71,2.07,,83.43,3.14,,80.49,2.41
,,,83.01,2.07,,83.78,3.14,,80.79,2.41
,,,83.32,2.08,,84.13,3.14,,81.09,2.42
,,,83.62,2.08,,84.48,3.15,,81.38,2.42
,,,83.93,2.08,,84.83,3.15,,81.68,2.42
,,,84.24,2.08,,85.18,3.16,,81.98,2.42
,,,84.54,2.09,,85.53,3.16,,82.27,2.43
,,,84.85,2.09,,85.88,3.16,,82.57,2.43
,,,85.15,2.09,,86.24,3.17,,82.87,2.43
,,,85.46,2.1,,86.59,3.17,,83.17,2.43
,,,85.76,2.1,,86.94,3.17,,83.46,2.44
,,,86.07,2.1,,87.29,3.18,,83.76,2.44
,,,86.37,2.1,,87.64,3.18,,84.06,2.44
,,,86.68,2.11,,87.99,3.19,,84.36,2.44
,,,86.98,2.11,,88.34,3.19,,84.65,2.45
,,,87.29,2.11,,88.69,3.19,,84.95,2.45
,,,87.6,2.11,,89.04,3.18,,85.25,2.45
,,,87.9,2.12,,89.39,3.06,,85.55,2.45
,,,88.21,2.12,,89.74,2.94,,85.84,2.46
,,,88.51,2.12,,90.09,2.92,,86.14,2.46
,,,88.82,2.12,,90.44,2.92,,86.44,2.46
,,,89.12,2.13,,90.79,2.93,,86.73,2.46
,,,89.43,2.13,,91.14,2.93,,87.03,2.47
,,,89.73,2.13,,91.5,2.93,,87.33,2.47
,,,90.04,2.13,,91.85,2.93,,87.63,2.47
,,,90.35,2.14,,92.2,2.93,,87.92,2.47
,,,90.65,2.14,,92.55,2.94,,88.22,2.48
,,,90.96,2.14,,92.9,2.94,,88.52,2.48
,,,91.26,2.14,,93.25,2.94,,88.82,2.48
,,,91.57,2.15,,93.6,2.94,,89.11,2.48
,,,91.87,2.15,,93.95,2.94,,89.41,2.49
,,,92.18,2.15,,94.3,2.95,,89.71,2.49
,,,92.48,2.16,,94.65,2.95,,90.01,2.49
,,,92.79,2.16,,95,2.95,,90.3,2.49
,,,93.09,2.16,,95.35,2.95,,90.6,2.5
,,,93.4,2.16,,95.7,2.95,,90.9,2.5
,,,93.71,2.17,,96.05,2.96,,91.19,2.5
,,,94.01,2.17,,96.4,2.96,,91.49,2.5
,,,94.32,2.17,,96.75,2.96,,91.79,2.51
,,,94.62,2.17,,97.11,2.96,,92.09,2.51
,,,94.93,2.18,,97.46,2.97,,92.38,2.51
,,,95.23,2.18,,97.81,2.97,,92.68,2.51
,,,95.54,2.18,,98.16,2.97,,92.98,2.52
,,,95.84,2.18,,98.51,2.97,,93.28,2.52
,,,96.15,2.19,,98.86,2.97,,93.57,2.52
,,,96.46,2.19,,99.21,2.98,,93.87,2.52
,,,96.76,2.19,,99.56,2.98,,94.17,2.53
,,,97.07,2.19,,99.91,2.98,,94.47,2.53
,,,97.37,2.2,,100.26,2.98,,94.76,2.53
,,,97.68,2.2,,100.61,2.98,,95.06,2.53
,,,97.98,2.2,,100.96,2.99,,95.36,2.54
,,,98.29,2.2,,101.31,2.99,,95.65,2.54
,,,98.59,2.21,,101.66,2.99,,95.95,2.54
,,,98.9,2.21,,102.01,2.99,,96.25,2.54
,,,99.21,2.21,,102.37,2.99,,96.55,2.55
,,,99.51,2.21,,102.72,3,,96.84,2.55
,,,99.82,2.22,,103.07,3,,97.14,2.55
,,,100.12,2.22,,103.42,3,,97.44,2.55
,,,100.43,2.22,,103.77,3,,97.74,2.56
,,,100.73,2.23,,104.12,3.01,,98.03,2.56
,,,101.04,2.23,,104.47,3.01,,98.33,2.56
,,,101.34,2.23,,104.82,3.01,,98.63,2.56
,,,101.65,2.23,,105.17,3.01,,98.93,2.57
,,,101.95,2.24,,105.52,3.01,,99.22,2.57
,,,102.26,2.24,,105.87,3.02,,99.52,2.57
,,,102.57,2.24,,106.22,3.02,,99.82,2.57
,,,102.87,2.24,,106.57,3.02,,100.11,2.58
