Machine Name,Bruker Avance III HD 600 MHz,,P40 - H NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 64 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0.5,7323.39
,,,0.5,7117.59
,,,0.5,7223.11
,,,0.5,7076.61
,,,0.5,7178.72
,,,0.5,7224.56
,,,0.5,6984.86
,,,0.5,7004.38
,,,0.5,7235.42
,,,0.5,7286.84
,,,0.5,6894.78
,,,0.5,7018.63
,,,0.5,7057.19
,,,0.5,6894.31
,,,0.51,6529.56
,,,0.51,6711.14
,,,0.51,6937.14
,,,0.51,6964.97
,,,0.51,7103.67
,,,0.51,7383.86
,,,0.51,7503.73
,,,0.51,7471.56
,,,0.51,7433.06
,,,0.51,7391.14
,,,0.51,7411.42
,,,0.51,7615.2
,,,0.51,7271.42
,,,0.51,7620.36
,,,0.51,7735.22
,,,0.51,8000.08
,,,0.52,7743.19
,,,0.52,7534.17
,,,0.52,7816.52
,,,0.52,7568.45
,,,0.52,7753.33
,,,0.52,7909.34
,,,0.52,8280.16
,,,0.52,8588.25
,,,0.52,8313.06
,,,0.52,8325.73
,,,0.52,8642.08
,,,0.52,8417.39
,,,0.52,8075.47
,,,0.52,7940.52
,,,0.52,8023.38
,,,0.52,8366.19
,,,0.53,8032.14
,,,0.53,8297.69
,,,0.53,8446.8
,,,0.53,8789.75
,,,0.53,8498.84
,,,0.53,8648.88
,,,0.53,8661.13
,,,0.53,9116.02
,,,0.53,8920.61
,,,0.53,9005.25
,,,0.53,9077.58
,,,0.53,9278.02
,,,0.53,9046.83
,,,0.53,8810.44
,,,0.53,8927.47
,,,0.53,9116.17
,,,0.54,9209.56
,,,0.54,9538.33
,,,0.54,8764.59
,,,0.54,9288.58
,,,0.54,9925.19
,,,0.54,9780.27
,,,0.54,9763.59
,,,0.54,9893.52
,,,0.54,9960.94
,,,0.54,10120.02
,,,0.54,10185.53
,,,0.54,10335.36
,,,0.54,10539.8
,,,0.54,10715.13
,,,0.54,10548.89
,,,0.54,10944.47
,,,0.55,11049.69
,,,0.55,11072.66
,,,0.55,11381.41
,,,0.55,11277.7
,,,0.55,10745.75
,,,0.55,11058.11
,,,0.55,11286.88
,,,0.55,11242.83
,,,0.55,10931.02
,,,0.55,11094.14
,,,0.55,11612.55
,,,0.55,11548
,,,0.55,11055.34
,,,0.55,11340.86
,,,0.55,11739.59
,,,0.55,11980.88
,,,0.56,11638.34
,,,0.56,11188.31
,,,0.56,11426.27
,,,0.56,11237.39
,,,0.56,11773.7
,,,0.56,11795.66
,,,0.56,11938.17
,,,0.56,12037.55
,,,0.56,11833.44
,,,0.56,11898.3
,,,0.56,12349.61
,,,0.56,12630.78
,,,0.56,12733.55
,,,0.56,12773.11
,,,0.56,12647.84
,,,0.56,12765.88
,,,0.57,12707.95
,,,0.57,12938.69
,,,0.57,13164.38
,,,0.57,13305.73
,,,0.57,13290.84
,,,0.57,13840.13
,,,0.57,13625.91
,,,0.57,13635.34
,,,0.57,14215.73
,,,0.57,14225.52
,,,0.57,14175.42
,,,0.57,14160.28
,,,0.57,14282.73
,,,0.57,14667.7
,,,0.57,14629.91
,,,0.57,14490.66
,,,0.58,14996.14
,,,0.58,14770.33
,,,0.58,15375.69
,,,0.58,15167.84
,,,0.58,15368.14
,,,0.58,15712.06
,,,0.58,15728.48
,,,0.58,15864.33
,,,0.58,15646.13
,,,0.58,15932.91
,,,0.58,16056.72
,,,0.58,15771.11
,,,0.58,15270.63
,,,0.58,15787.33
,,,0.58,15640.48
,,,0.58,15906.33
,,,0.59,15912.84
,,,0.59,15591.64
,,,0.59,15627.56
,,,0.59,15453
,,,0.59,15378.3
,,,0.59,15150.7
,,,0.59,15364.72
,,,0.59,15672.45
,,,0.59,15649.56
,,,0.59,15868.66
,,,0.59,16150.25
,,,0.59,16149.11
,,,0.59,16436.95
,,,0.59,16590.94
,,,0.59,16556.34
,,,0.59,16865.47
,,,0.6,16577.67
,,,0.6,16516.27
,,,0.6,16492.73
,,,0.6,16664.25
,,,0.6,16522.2
,,,0.6,16474.36
,,,0.6,16824.59
,,,0.6,16659.67
,,,0.6,16380.42
,,,0.6,16269.69
,,,0.6,16212.58
,,,0.6,16490.22
,,,0.6,16634.03
,,,0.6,16595.25
,,,0.6,16692.98
,,,0.6,16630.44
,,,0.61,16525.59
,,,0.61,16372.64
,,,0.61,16450.97
,,,0.61,16461.97
,,,0.61,16620.13
,,,0.61,16823.3
,,,0.61,16943.44
,,,0.61,16641.36
,,,0.61,16931.44
,,,0.61,17124.13
,,,0.61,16423.17
,,,0.61,16428.73
,,,0.61,16614.61
,,,0.61,16296.73
,,,0.61,16682.83
,,,0.61,16617
,,,0.62,16971.27
,,,0.62,17439.58
,,,0.62,17718.48
,,,0.62,17372
,,,0.62,17879.56
,,,0.62,18083.61
,,,0.62,18056.05
,,,0.62,18267.11
,,,0.62,18241.95
,,,0.62,18430.59
,,,0.62,18184.59
,,,0.62,17540.83
,,,0.62,17641.22
,,,0.62,18008.19
,,,0.62,17885.97
,,,0.62,17593.69
,,,0.63,17856
,,,0.63,18248.09
,,,0.63,17779.45
,,,0.63,17732.27
,,,0.63,17544.61
,,,0.63,17805.09
,,,0.63,17602.02
,,,0.63,17919.11
,,,0.63,18049.73
,,,0.63,17721.47
,,,0.63,17663.69
,,,0.63,17970.55
,,,0.63,17845.41
,,,0.63,17981.13
,,,0.63,17545.59
,,,0.63,17823.67
,,,0.64,18205.47
,,,0.64,18125.66
,,,0.64,17907.33
,,,0.64,17983.75
,,,0.64,18087.98
,,,0.64,18212.34
,,,0.64,18246.7
,,,0.64,18265.73
,,,0.64,18642.75
,,,0.64,19088.67
,,,0.64,19119.36
,,,0.64,19194.23
,,,0.64,18930.7
,,,0.64,19169.88
,,,0.64,19011.41
,,,0.65,18981.91
,,,0.65,19577.38
,,,0.65,19891.14
,,,0.65,19834.84
,,,0.65,19937.72
,,,0.65,19893
,,,0.65,20055.28
,,,0.65,20075.36
,,,0.65,20544.53
,,,0.65,20650.7
,,,0.65,20688.22
,,,0.65,21075.66
,,,0.65,21578.08
,,,0.65,21674.69
,,,0.65,21877.5
,,,0.65,21866.19
,,,0.66,21613.25
,,,0.66,22041.78
,,,0.66,22148.45
,,,0.66,22039.09
,,,0.66,22115.64
,,,0.66,21901.94
,,,0.66,21758.98
,,,0.66,21789.47
,,,0.66,21936.31
,,,0.66,22042.53
,,,0.66,22266.95
,,,0.66,22185.11
,,,0.66,22399.25
,,,0.66,22708.73
,,,0.66,22852.94
,,,0.66,23050.17
,,,0.67,23301.45
,,,0.67,23475.28
,,,0.67,23823.39
,,,0.67,24347.38
,,,0.67,24784.58
,,,0.67,24970.63
