Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,126.43,0.18,,82.51,0.11,,100.94,0.19,,104.12,0.26,,60.3,0.24,,724.28,0.36,,73.69,0.27,,57.74,0.23,,46.28,0.26,,45,0.26,,44.06,0.22
,,129.77,0.18,,84.93,0.11,,103.75,0.19,,106.99,0.26,,62.1,0.24,,742.02,0.36,,75.86,0.28,,59.58,0.23,,47.78,0.27,,46.51,0.27,,45.47,0.22
,,133.11,0.18,,87.36,0.12,,106.56,0.19,,109.86,0.26,,63.9,0.24,,759.76,0.36,,78.02,0.28,,61.43,0.23,,49.27,0.27,,48.02,0.27,,46.89,0.23
,,136.45,0.19,,89.79,0.12,,109.36,0.19,,112.73,0.27,,65.7,0.24,,777.49,0.37,,80.19,0.28,,63.27,0.23,,50.77,0.27,,49.52,0.27,,48.3,0.23
,,139.79,0.19,,92.21,0.12,,112.17,0.2,,115.59,0.27,,67.51,0.24,,795.23,0.37,,82.35,0.28,,65.11,0.24,,52.27,0.27,,51.03,0.28,,49.71,0.23
,,143.13,0.19,,94.64,0.12,,114.98,0.2,,118.46,0.27,,69.31,0.25,,812.97,0.37,,84.52,0.28,,66.96,0.24,,53.77,0.28,,52.54,0.28,,51.12,0.23
,,146.46,0.19,,97.07,0.12,,117.79,0.2,,121.33,0.27,,71.11,0.25,,830.69,0.36,,86.68,0.29,,68.8,0.24,,55.27,0.28,,54.04,0.28,,52.54,0.23
,,149.8,0.19,,99.49,0.12,,120.59,0.2,,124.2,0.27,,72.91,0.25,,848.42,0.36,,88.85,0.29,,70.64,0.24,,56.77,0.28,,55.55,0.28,,53.95,0.24
,,153.14,0.19,,101.92,0.12,,123.4,0.2,,127.07,0.27,,74.71,0.25,,866.17,0.36,,91.01,0.29,,72.49,0.24,,58.27,0.29,,57.06,0.29,,55.36,0.24
,,156.48,0.19,,104.35,0.12,,126.21,0.2,,129.93,0.28,,76.51,0.26,,883.92,0.36,,93.18,0.29,,74.33,0.24,,59.77,0.29,,58.56,0.29,,56.77,0.24
,,159.82,0.19,,106.78,0.12,,129.01,0.2,,132.8,0.28,,78.32,0.26,,901.66,0.36,,95.35,0.29,,76.17,0.24,,61.27,0.29,,60.07,0.29,,58.19,0.24
,,163.16,0.19,,109.2,0.12,,131.82,0.2,,135.67,0.28,,80.12,0.26,,919.41,0.36,,97.51,0.3,,78.02,0.24,,62.77,0.29,,61.58,0.29,,59.6,0.24
,,166.5,0.19,,111.63,0.12,,134.63,0.2,,138.54,0.28,,81.92,0.26,,937.15,0.36,,99.68,0.3,,79.86,0.25,,64.27,0.3,,63.08,0.3,,61.01,0.24
,,169.84,0.2,,114.06,0.13,,137.43,0.2,,141.41,0.28,,83.72,0.26,,954.9,0.36,,101.84,0.3,,81.7,0.25,,65.77,0.3,,64.59,0.3,,62.42,0.25
,,173.18,0.2,,116.48,0.13,,140.24,0.21,,144.28,0.28,,85.52,0.27,,972.64,0.36,,104.01,0.3,,83.55,0.25,,67.27,0.3,,66.1,0.3,,63.84,0.25
,,176.52,0.2,,118.91,0.13,,143.05,0.21,,147.14,0.28,,87.33,0.27,,990.39,0.36,,106.17,0.3,,85.39,0.25,,68.77,0.3,,67.6,0.3,,65.25,0.25
,,179.86,0.2,,121.34,0.13,,145.85,0.21,,150.01,0.29,,89.13,0.27,,1008.14,0.36,,108.34,0.31,,87.23,0.25,,70.27,0.31,,69.11,0.31,,66.66,0.25
,,183.2,0.2,,123.76,0.13,,148.66,0.21,,152.88,0.29,,90.93,0.27,,1025.89,0.36,,110.5,0.31,,89.08,0.25,,71.77,0.31,,70.62,0.31,,68.07,0.25
,,186.54,0.2,,126.19,0.13,,151.47,0.21,,155.75,0.29,,92.73,0.27,,1043.63,0.36,,112.67,0.31,,90.92,0.25,,73.27,0.31,,72.12,0.31,,69.49,0.26
,,189.88,0.2,,128.62,0.13,,154.27,0.21,,158.62,0.29,,94.53,0.27,,1061.38,0.36,,114.84,0.31,,92.76,0.25,,74.77,0.32,,73.63,0.31,,70.9,0.26
,,193.22,0.2,,131.04,0.13,,157.08,0.21,,161.49,0.29,,96.33,0.27,,1079.13,0.36,,117.01,0.31,,94.61,0.25,,76.27,0.32,,75.14,0.32,,72.31,0.26
,,196.56,0.2,,133.47,0.13,,159.89,0.21,,164.36,0.29,,98.13,0.28,,1096.91,0.36,,119.18,0.31,,96.45,0.26,,77.77,0.32,,76.64,0.32,,73.72,0.26
,,199.9,0.2,,135.9,0.13,,162.69,0.21,,167.23,0.29,,99.93,0.28,,1114.73,0.36,,121.34,0.31,,98.3,0.26,,79.27,0.32,,78.15,0.32,,75.14,0.26
,,203.24,0.2,,138.33,0.13,,165.5,0.21,,170.1,0.29,,101.73,0.28,,1132.47,0.36,,123.51,0.31,,100.14,0.26,,80.77,0.33,,79.66,0.32,,76.55,0.26
,,206.58,0.2,,140.75,0.13,,168.31,0.21,,172.97,0.29,,103.53,0.28,,1150.2,0.36,,125.68,0.31,,101.99,0.26,,82.28,0.33,,81.16,0.33,,77.96,0.26
,,209.92,0.2,,143.18,0.13,,171.12,0.21,,175.83,0.29,,105.33,0.28,,1167.93,0.36,,127.85,0.31,,103.83,0.26,,83.78,0.33,,82.67,0.33,,79.37,0.26
