Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,884.48,0.22,,633.55,0.14,,738.55,0.21,,755.42,0.34,,468.91,0.33,,,,,565.38,0.3,,476.08,0.29,,386.95,0.43,,386.9,0.42,,364.72,0.33
,,887.82,0.22,,635.98,0.14,,741.35,0.21,,758.29,0.34,,470.71,0.33,,,,,567.55,0.3,,477.92,0.29,,388.45,0.43,,388.38,0.42,,366.14,0.33
,,891.16,0.22,,638.41,0.14,,744.16,0.21,,761.16,0.34,,472.51,0.33,,,,,569.71,0.3,,479.77,0.29,,389.96,0.43,,389.86,0.42,,367.55,0.33
,,894.5,0.22,,640.84,0.14,,746.96,0.21,,764.06,0.34,,474.31,0.33,,,,,571.87,0.3,,481.61,0.29,,391.46,0.43,,391.35,0.42,,368.96,0.33
,,897.84,0.22,,643.27,0.14,,749.77,0.21,,766.95,0.34,,476.11,0.33,,,,,574.03,0.3,,483.45,0.29,,392.96,0.43,,392.86,0.42,,370.37,0.33
,,901.18,0.22,,645.69,0.14,,752.57,0.21,,769.83,0.34,,477.91,0.33,,,,,576.2,0.3,,485.3,0.29,,394.46,0.43,,394.36,0.42,,371.79,0.33
,,904.52,0.22,,648.12,0.14,,755.38,0.21,,772.7,0.34,,479.71,0.33,,,,,578.36,0.3,,487.14,0.29,,395.96,0.43,,395.87,0.42,,373.2,0.33
,,907.86,0.22,,650.55,0.14,,758.18,0.21,,775.57,0.34,,481.51,0.33,,,,,580.52,0.3,,488.99,0.29,,397.46,0.43,,397.37,0.42,,374.61,0.33
,,911.2,0.22,,652.98,0.14,,760.99,0.21,,778.44,0.34,,483.31,0.33,,,,,582.69,0.3,,490.83,0.29,,398.96,0.43,,398.88,0.42,,376.03,0.33
,,914.55,0.22,,655.4,0.14,,763.79,0.21,,781.31,0.34,,485.11,0.33,,,,,584.85,0.3,,492.68,0.29,,400.46,0.43,,400.38,0.42,,377.44,0.33
,,917.88,0.22,,657.75,0.14,,766.6,0.21,,784.18,0.34,,486.91,0.33,,,,,587.01,0.3,,494.52,0.29,,401.96,0.43,,401.89,0.42,,378.85,0.33
,,921.18,0.23,,660.16,0.14,,769.4,0.21,,787.05,0.34,,488.71,0.33,,,,,589.17,0.3,,496.36,0.29,,403.46,0.43,,403.4,0.42,,380.27,0.33
,,924.51,0.23,,662.59,0.14,,772.21,0.21,,789.92,0.34,,490.51,0.33,,,,,591.34,0.3,,498.21,0.29,,404.96,0.43,,404.9,0.42,,381.68,0.33
,,927.85,0.23,,665.02,0.14,,775.01,0.21,,792.79,0.34,,492.31,0.33,,,,,593.5,0.3,,500.05,0.29,,406.46,0.43,,406.41,0.42,,383.09,0.33
,,931.18,0.23,,667.45,0.14,,777.82,0.21,,795.66,0.34,,494.11,0.33,,,,,595.66,0.3,,501.9,0.29,,407.96,0.43,,407.91,0.42,,384.5,0.33
,,934.52,0.23,,669.87,0.14,,780.63,0.21,,798.52,0.34,,495.91,0.33,,,,,597.83,0.3,,503.74,0.29,,409.46,0.43,,409.42,0.43,,385.92,0.33
,,937.85,0.23,,672.3,0.14,,783.44,0.21,,801.39,0.34,,497.71,0.33,,,,,599.99,0.3,,505.59,0.29,,410.96,0.43,,410.92,0.43,,387.33,0.33
,,941.19,0.23,,674.73,0.14,,786.25,0.21,,804.26,0.34,,499.51,0.33,,,,,602.16,0.3,,507.43,0.29,,412.47,0.43,,412.43,0.43,,388.75,0.34
,,944.52,0.23,,677.16,0.14,,789.06,0.21,,807.13,0.35,,501.31,0.33,,,,,604.32,0.3,,509.27,0.29,,413.97,0.43,,413.93,0.43,,390.16,0.34
,,947.86,0.23,,679.58,0.14,,791.87,0.21,,810,0.35,,503.11,0.33,,,,,606.49,0.3,,511.12,0.29,,415.47,0.43,,415.44,0.43,,391.57,0.34
,,951.2,0.23,,682.01,0.14,,794.68,0.21,,812.87,0.35,,504.91,0.33,,,,,608.65,0.3,,512.96,0.29,,416.97,0.43,,416.94,0.43,,392.99,0.34
,,954.54,0.23,,684.44,0.14,,797.5,0.21,,815.74,0.35,,506.71,0.33,,,,,610.82,0.3,,514.81,0.29,,418.47,0.43,,418.45,0.43,,394.4,0.34
,,957.88,0.23,,686.87,0.14,,800.31,0.21,,818.61,0.35,,508.51,0.33,,,,,612.98,0.3,,516.65,0.29,,419.97,0.43,,419.95,0.43,,395.82,0.34
,,961.22,0.23,,689.3,0.14,,803.12,0.21,,821.48,0.35,,510.31,0.33,,,,,615.15,0.3,,518.49,0.29,,421.47,0.43,,421.46,0.43,,397.23,0.34
,,964.56,0.23,,691.72,0.14,,805.93,0.21,,824.35,0.35,,512.11,0.33,,,,,617.31,0.3,,520.34,0.29,,422.97,0.43,,422.97,0.43,,398.64,0.34
,,967.9,0.23,,694.15,0.14,,808.74,0.21,,827.21,0.35,,513.91,0.33,,,,,619.48,0.3,,522.18,0.29,,424.47,0.43,,424.47,0.43,,400.06,0.34
,,971.24,0.23,,696.58,0.14,,811.55,0.21,,830.08,0.35,,515.71,0.34,,,,,621.64,0.3,,524.02,0.29,,425.97,0.43,,425.98,0.43,,401.47,0.34
,,974.58,0.23,,699.01,0.14,,814.36,0.21,,832.95,0.35,,517.51,0.34,,,,,623.81,0.3,,525.87,0.29,,427.47,0.43,,427.48,0.43,,402.89,0.34
,,977.92,0.23,,701.44,0.14,,817.17,0.21,,835.82,0.35,,519.31,0.34,,,,,625.97,0.3,,527.71,0.29,,428.97,0.43,,428.99,0.43,,404.3,0.34
,,981.26,0.23,,703.86,0.14,,819.98,0.21,,838.68,0.35,,521.11,0.34,,,,,628.14,0.3,,529.55,0.29,,430.47,0.44,,430.49,0.43,,405.71,0.34
,,984.6,0.23,,706.29,0.14,,822.79,0.21,,841.55,0.35,,522.91,0.34,,,,,630.3,0.3,,531.4,0.29,,431.97,0.44,,432,0.43,,407.13,0.34
,,987.94,0.23,,708.72,0.14,,825.6,0.21,,844.42,0.35,,524.71,0.34,,,,,632.47,0.3,,533.24,0.29,,433.48,0.44,,433.5,0.43,,408.54,0.34
,,991.28,0.23,,711.15,0.14,,828.41,0.21,,847.29,0.35,,526.51,0.34,,,,,634.63,0.3,,535.08,0.29,,434.98,0.44,,435.01,0.43,,409.95,0.34
,,994.62,0.23,,713.57,0.14,,831.22,0.21,,850.15,0.35,,528.31,0.34,,,,,636.8,0.3,,536.92,0.29,,436.48,0.44,,436.51,0.43,,411.37,0.34
,,997.96,0.23,,716,0.14,,834.03,0.21,,853.02,0.35,,530.11,0.34,,,,,638.96,0.3,,538.77,0.29,,437.98,0.44,,438.02,0.43,,412.78,0.34
,,1001.3,0.23,,718.43,0.14,,836.84,0.21,,855.89,0.35,,531.91,0.34,,,,,641.13,0.3,,540.61,0.29,,439.48,0.44,,439.52,0.43,,414.2,0.34
,,1004.63,0.23,,720.86,0.14,,839.65,0.21,,858.75,0.35,,533.71,0.34,,,,,643.29,0.3,,542.45,0.29,,440.98,0.44,,441.03,0.43,,415.61,0.34
,,1007.97,0.23,,723.29,0.14,,842.46,0.21,,861.62,0.35,,535.51,0.34,,,,,645.46,0.3,,544.3,0.29,,442.48,0.44,,442.54,0.43,,417.02,0.34
,,1011.31,0.23,,725.71,0.14,,845.27,0.22,,864.49,0.35,,537.3,0.34,,,,,647.62,0.3,,546.14,0.29,,443.98,0.44,,444.04,0.43,,418.44,0.34
,,1014.65,0.23,,728.14,0.14,,848.08,0.22,,867.35,0.35,,539.1,0.34,,,,,649.79,0.3,,547.98,0.29,,445.48,0.44,,445.55,0.43,,419.85,0.34
,,1017.99,0.23,,730.57,0.14,,850.89,0.22,,870.22,0.35,,540.9,0.34,,,,,651.95,0.3,,549.83,0.29,,446.98,0.44,,447.05,0.43,,421.27,0.34
,,1021.33,0.23,,733,0.14,,853.7,0.22,,873.09,0.35,,542.7,0.34,,,,,654.12,0.3,,551.67,0.29,,448.48,0.44,,448.56,0.43,,422.68,0.34
,,1024.66,0.23,,735.42,0.14,,856.51,0.22,,875.96,0.36,,544.5,0.34,,,,,656.28,0.3,,553.51,0.29,,449.98,0.44,,450.06,0.43,,424.09,0.34
,,1028,0.23,,737.85,0.14,,859.32,0.22,,878.83,0.36,,546.3,0.34,,,,,658.44,0.3,,555.35,0.29,,451.48,0.44,,451.57,0.43,,425.51,0.34
,,1031.34,0.23,,740.28,0.14,,862.13,0.22,,881.69,0.36,,548.1,0.34,,,,,660.61,0.3,,557.2,0.29,,452.99,0.44,,453.07,0.43,,426.92,0.34
,,1034.68,0.23,,742.71,0.14,,864.94,0.22,,884.56,0.36,,549.9,0.34,,,,,662.77,0.3,,559.04,0.29,,454.49,0.44,,454.58,0.43,,428.34,0.34
,,1038.02,0.24,,745.14,0.14,,867.74,0.22,,887.43,0.36,,551.7,0.34,,,,,664.94,0.3,,560.88,0.29,,455.99,0.44,,456.08,0.43,,429.75,0.34
,,1041.36,0.24,,747.56,0.14,,870.55,0.22,,890.3,0.36,,553.5,0.34,,,,,667.1,0.3,,562.73,0.29,,457.49,0.44,,457.59,0.43,,431.16,0.34
,,1044.69,0.24,,749.99,0.14,,873.36,0.22,,893.17,0.36,,555.3,0.34,,,,,669.26,0.3,,564.57,0.29,,458.99,0.44,,459.1,0.43,,432.57,0.34
,,1048.03,0.24,,752.42,0.14,,876.17,0.22,,896.04,0.36,,557.1,0.34,,,,,671.43,0.3,,566.41,0.29,,460.49,0.44,,460.6,0.44,,433.99,0.34
,,1051.37,0.24,,754.85,0.14,,878.98,0.22,,898.91,0.36,,558.9,0.34,,,,,673.59,0.3,,568.25,0.29,,461.99,0.44,,462.11,0.44,,435.4,0.34
,,1054.71,0.24,,757.28,0.14,,881.79,0.22,,901.78,0.36,,560.7,0.34,,,,,675.76,0.3,,570.1,0.29,,463.49,0.44,,463.61,0.44,,436.81,0.34
,,1058.05,0.24,,759.7,0.14,,884.6,0.22,,904.64,0.36,,562.5,0.34,,,,,677.92,0.3,,571.94,0.29,,464.99,0.44,,465.12,0.44,,438.22,0.34
,,1061.39,0.24,,762.13,0.14,,887.41,0.22,,907.51,0.36,,564.3,0.34,,,,,680.08,0.3,,573.78,0.29,,466.49,0.44,,466.63,0.44,,439.63,0.34
,,1064.72,0.24,,764.56,0.14,,890.22,0.22,,910.38,0.36,,566.1,0.34,,,,,682.25,0.3,,575.63,0.29,,467.99,0.44,,468.13,0.44,,441.05,0.34
,,1068.06,0.24,,766.99,0.14,,893.03,0.22,,913.25,0.36,,567.9,0.34,,,,,684.42,0.3,,577.47,0.29,,469.49,0.44,,469.64,0.44,,442.46,0.34
,,1071.4,0.24,,769.41,0.14,,895.84,0.22,,916.12,0.36,,569.7,0.34,,,,,686.58,0.3,,579.31,0.29,,471,0.44,,471.14,0.44,,443.87,0.34
,,1074.74,0.24,,771.84,0.14,,898.65,0.22,,918.99,0.36,,571.5,0.34,,,,,688.75,0.3,,581.16,0.29,,472.5,0.44,,472.65,0.44,,445.28,0.34
,,1078.07,0.24,,774.27,0.14,,901.46,0.22,,921.86,0.36,,573.3,0.34,,,,,690.92,0.3,,583,0.29,,474,0.44,,474.15,0.44,,446.69,0.34
,,1081.41,0.24,,776.7,0.14,,904.27,0.22,,924.73,0.36,,575.1,0.34,,,,,693.08,0.3,,584.84,0.29,,475.51,0.44,,475.66,0.44,,448.11,0.34
,,1084.74,0.24,,779.13,0.14,,907.08,0.22,,927.6,0.36,,576.9,0.34,,,,,695.25,0.3,,586.68,0.29,,477.01,0.44,,477.17,0.44,,449.52,0.34
,,1088.07,0.24,,781.56,0.14,,909.89,0.22,,930.46,0.36,,578.7,0.34,,,,,697.41,0.3,,588.53,0.29,,478.52,0.44,,478.67,0.44,,450.93,0.34
,,1091.41,0.24,,783.99,0.14,,912.7,0.22,,933.33,0.37,,580.5,0.34,,,,,699.58,0.3,,590.37,0.29,,480.02,0.45,,480.18,0.44,,452.34,0.34
,,1094.74,0.24,,786.42,0.14,,915.51,0.22,,936.2,0.37,,582.47,0.35,,,,,701.75,0.3,,592.21,0.29,,481.52,0.45,,481.68,0.44,,453.75,0.34
,,1098.07,0.24,,788.85,0.14,,918.32,0.22,,939.07,0.37,,584.26,0.35,,,,,703.91,0.3,,594.06,0.29,,483.03,0.45,,483.19,0.44,,455.17,0.34
,,1101.41,0.24,,791.28,0.14,,921.13,0.22,,941.93,0.37,,586.06,0.35,,,,,706.08,0.3,,595.9,0.29,,484.53,0.45,,484.7,0.44,,456.58,0.34
,,1104.74,0.24,,793.71,0.14,,923.95,0.22,,944.8,0.37,,587.86,0.35,,,,,708.25,0.3,,597.74,0.29,,486.03,0.45,,486.2,0.44,,457.99,0.34
,,1108.07,0.24,,796.14,0.14,,926.76,0.22,,947.67,0.37,,589.66,0.35,,,,,710.41,0.3,,599.59,0.29,,487.54,0.45,,487.71,0.44,,459.4,0.34
,,1111.41,0.24,,798.57,0.14,,929.57,0.22,,950.54,0.37,,591.45,0.35,,,,,712.58,0.3,,601.43,0.29,,489.04,0.45,,489.21,0.44,,460.82,0.34
,,1114.76,0.24,,801,0.14,,932.38,0.22,,953.4,0.37,,593.25,0.35,,,,,714.74,0.3,,603.27,0.29,,490.54,0.45,,490.72,0.44,,462.23,0.34
,,1118.11,0.24,,803.43,0.15,,935.19,0.22,,956.27,0.37,,595.05,0.35,,,,,716.91,0.3,,605.11,0.29,,492.05,0.45,,492.23,0.44,,463.64,0.34
,,1121.45,0.24,,805.86,0.15,,938,0.22,,959.14,0.37,,596.85,0.35,,,,,719.08,0.3,,606.96,0.29,,493.55,0.45,,493.73,0.44,,465.05,0.34
,,1124.8,0.24,,808.29,0.15,,940.81,0.22,,962.01,0.37,,598.64,0.35,,,,,721.24,0.3,,608.8,0.3,,495.05,0.45,,495.24,0.44,,466.46,0.34
,,1128.15,0.24,,810.72,0.15,,943.62,0.23,,964.87,0.37,,600.44,0.35,,,,,723.41,0.3,,610.64,0.3,,496.56,0.45,,496.74,0.44,,467.87,0.34
,,1131.5,0.24,,813.14,0.15,,946.43,0.23,,967.74,0.37,,602.24,0.35,,,,,725.58,0.3,,612.49,0.3,,498.06,0.45,,498.25,0.44,,469.28,0.34
,,1134.84,0.24,,815.57,0.15,,949.25,0.23,,970.61,0.37,,604.03,0.35,,,,,727.74,0.3,,614.33,0.3,,499.56,0.45,,499.75,0.44,,470.7,0.34
,,1138.18,0.24,,818,0.15,,952.06,0.23,,973.48,0.37,,605.83,0.35,,,,,729.91,0.3,,616.17,0.3,,501.07,0.45,,501.25,0.44,,472.11,0.34
,,1141.52,0.24,,820.43,0.15,,954.87,0.23,,976.35,0.37,,607.63,0.35,,,,,732.08,0.3,,618.02,0.3,,502.57,0.45,,502.76,0.44,,473.52,0.34
,,1144.86,0.24,,822.86,0.15,,957.68,0.23,,979.21,0.37,,609.43,0.35,,,,,734.24,0.3,,619.86,0.3,,504.06,0.45,,504.26,0.45,,474.93,0.35
,,1148.2,0.24,,825.29,0.15,,960.49,0.23,,982.08,0.37,,611.22,0.35,,,,,736.41,0.3,,621.7,0.3,,505.56,0.45,,505.77,0.45,,476.34,0.35
,,1151.55,0.24,,827.72,0.15,,963.3,0.23,,984.95,0.37,,613.02,0.35,,,,,738.59,0.3,,623.54,0.3,,507.06,0.45,,507.27,0.45,,477.75,0.35
,,1154.89,0.24,,830.15,0.15,,966.11,0.23,,987.82,0.37,,614.82,0.35,,,,,740.84,0.3,,625.39,0.3,,508.56,0.45,,508.78,0.45,,479.16,0.35
,,1158.23,0.25,,832.57,0.15,,968.92,0.23,,990.68,0.38,,616.62,0.35,,,,,742.96,0.3,,627.23,0.3,,510.06,0.45,,510.28,0.45,,480.57,0.35
,,1161.57,0.25,,835,0.15,,971.73,0.23,,993.55,0.38,,618.41,0.35,,,,,745.13,0.3,,629.07,0.3,,511.56,0.45,,511.79,0.45,,481.99,0.35
,,1164.91,0.25,,837.42,0.15,,974.54,0.23,,996.42,0.38,,620.21,0.35,,,,,747.29,0.3,,630.92,0.3,,513.06,0.45,,513.29,0.45,,483.4,0.35
,,1168.25,0.25,,839.85,0.15,,977.35,0.23,,999.29,0.38,,622.01,0.35,,,,,749.46,0.3,,632.76,0.3,,514.56,0.45,,514.8,0.45,,484.81,0.35
,,1171.59,0.25,,842.27,0.15,,980.16,0.23,,1002.16,0.38,,623.8,0.35,,,,,751.62,0.3,,634.6,0.3,,516.06,0.45,,516.3,0.45,,486.22,0.35
,,1174.94,0.25,,844.7,0.15,,982.97,0.23,,1005.02,0.38,,625.6,0.35,,,,,753.79,0.3,,636.45,0.3,,517.56,0.45,,517.81,0.45,,487.63,0.35
,,1178.28,0.25,,847.13,0.15,,985.78,0.23,,1007.89,0.38,,627.4,0.35,,,,,755.95,0.3,,638.29,0.3,,519.05,0.45,,519.31,0.45,,489.04,0.35
,,1181.62,0.25,,849.55,0.15,,988.59,0.23,,1010.76,0.38,,629.19,0.35,,,,,758.12,0.3,,640.13,0.3,,520.55,0.46,,520.82,0.45,,490.45,0.35
,,1184.96,0.25,,851.98,0.15,,991.4,0.23,,1013.63,0.38,,630.99,0.35,,,,,760.28,0.3,,641.97,0.3,,522.05,0.46,,522.32,0.45,,491.86,0.35
,,1188.3,0.25,,854.41,0.15,,994.21,0.23,,1016.5,0.38,,632.78,0.35,,,,,762.45,0.3,,643.82,0.3,,523.55,0.46,,523.83,0.45,,493.28,0.35
,,1191.64,0.25,,856.83,0.15,,997.02,0.23,,1019.37,0.38,,634.58,0.35,,,,,764.61,0.3,,645.66,0.3,,525.05,0.46,,525.33,0.45,,494.69,0.35
,,1194.98,0.25,,859.26,0.15,,999.84,0.23,,1022.23,0.38,,636.38,0.35,,,,,766.78,0.3,,647.5,0.3,,526.55,0.46,,526.84,0.45,,496.1,0.35
,,1198.32,0.25,,861.69,0.15,,1002.65,0.23,,1025.1,0.38,,638.17,0.35,,,,,768.94,0.3,,649.35,0.3,,528.05,0.46,,528.34,0.45,,497.52,0.35
,,1201.66,0.25,,864.11,0.15,,1005.46,0.23,,1027.97,0.38,,639.97,0.35,,,,,771.11,0.3,,651.19,0.3,,529.55,0.46,,529.85,0.45,,498.93,0.35
,,1204.99,0.25,,866.54,0.15,,1008.27,0.23,,1030.84,0.38,,641.77,0.36,,,,,773.28,0.3,,653.03,0.3,,531.05,0.46,,531.35,0.45,,500.34,0.35
,,1208.33,0.25,,868.97,0.15,,1011.08,0.23,,1033.71,0.38,,643.56,0.36,,,,,775.44,0.3,,654.88,0.3,,532.55,0.46,,532.86,0.45,,501.75,0.35
,,1211.67,0.25,,871.4,0.15,,1013.89,0.23,,1036.58,0.38,,645.36,0.36,,,,,777.61,0.3,,656.72,0.3,,534.05,0.46,,534.36,0.45,,503.17,0.35
,,1215.01,0.25,,873.82,0.15,,1016.7,0.23,,1039.45,0.38,,647.16,0.36,,,,,779.77,0.3,,658.55,0.3,,535.55,0.46,,535.87,0.45,,504.58,0.35
,,1218.35,0.25,,876.25,0.15,,1019.51,0.23,,1042.31,0.38,,648.96,0.36,,,,,781.94,0.3,,660.35,0.3,,537.05,0.46,,537.37,0.45,,505.99,0.35
,,1221.69,0.25,,878.68,0.15,,1022.32,0.23,,1045.18,0.38,,650.75,0.36,,,,,784.1,0.3,,662.16,0.3,,538.55,0.46,,538.9,0.45,,507.4,0.35
,,1225.03,0.25,,881.1,0.15,,1025.13,0.23,,1048.05,0.38,,652.55,0.36,,,,,786.27,0.3,,664,0.3,,540.05,0.46,,540.43,0.45,,508.82,0.35
,,1228.37,0.25,,883.53,0.15,,1027.94,0.23,,1050.92,0.38,,654.35,0.36,,,,,788.43,0.3,,665.85,0.3,,541.55,0.46,,541.97,0.45,,510.23,0.35
,,1231.71,0.25,,885.96,0.15,,1030.75,0.23,,1053.79,0.39,,656.15,0.36,,,,,790.6,0.3,,667.69,0.3,,543.06,0.46,,543.5,0.46,,511.64,0.35
,,1235.05,0.25,,888.38,0.15,,1033.56,0.23,,1056.66,0.39,,657.94,0.36,,,,,792.76,0.3,,669.53,0.3,,544.56,0.46,,545.01,0.46,,513.05,0.35
,,1238.38,0.25,,890.81,0.15,,1036.37,0.23,,1059.53,0.39,,659.74,0.36,,,,,794.93,0.3,,671.37,0.3,,546.06,0.46,,546.51,0.46,,514.47,0.35
,,1241.72,0.25,,893.24,0.15,,1039.18,0.23,,1062.39,0.39,,661.54,0.36,,,,,797.09,0.3,,673.22,0.3,,547.56,0.46,,548.02,0.46,,515.88,0.35
,,1245.06,0.25,,895.66,0.15,,1041.99,0.23,,1065.26,0.39,,663.34,0.36,,,,,799.26,0.3,,675.06,0.3,,549.06,0.46,,549.53,0.46,,517.29,0.35
,,1248.4,0.25,,898.09,0.15,,1044.8,0.23,,1068.13,0.39,,665.14,0.36,,,,,801.42,0.3,,676.9,0.3,,550.56,0.46,,551.03,0.46,,518.71,0.35
,,1251.74,0.25,,900.51,0.15,,1047.61,0.23,,1071,0.39,,666.94,0.36,,,,,803.59,0.3,,678.74,0.3,,552.06,0.46,,552.54,0.46,,520.12,0.35
,,1255.08,0.25,,902.94,0.15,,1050.42,0.24,,1073.87,0.39,,668.74,0.36,,,,,805.76,0.3,,680.59,0.3,,553.56,0.46,,554.04,0.46,,521.53,0.35
,,1258.42,0.25,,905.37,0.15,,1053.23,0.24,,1076.74,0.39,,670.54,0.36,,,,,807.92,0.3,,682.43,0.3,,555.06,0.46,,555.55,0.46,,522.94,0.35
,,1261.76,0.25,,907.79,0.15,,1056.04,0.24,,1079.6,0.39,,672.34,0.36,,,,,810.08,0.3,,684.27,0.3,,556.56,0.46,,557.05,0.46,,524.36,0.35
,,1265.1,0.25,,910.22,0.15,,1058.85,0.24,,1082.47,0.39,,674.14,0.36,,,,,812.25,0.3,,686.11,0.3,,558.07,0.47,,558.56,0.46,,525.77,0.35
,,1268.44,0.25,,912.64,0.15,,1061.66,0.24,,1085.34,0.39,,675.94,0.36,,,,,814.41,0.3,,687.96,0.3,,559.57,0.47,,560.07,0.46,,527.18,0.35
,,1271.77,0.25,,915.07,0.15,,1064.47,0.24,,1088.21,0.39,,677.73,0.36,,,,,816.57,0.3,,689.8,0.3,,561.07,0.47,,561.57,0.46,,528.59,0.35
,,1275.11,0.25,,917.5,0.15,,1067.28,0.24,,1091.08,0.39,,679.53,0.36,,,,,818.74,0.3,,691.64,0.3,,562.57,0.47,,563.08,0.46,,530.01,0.35
,,1278.45,0.25,,919.92,0.15,,1070.09,0.24,,1093.95,0.39,,681.33,0.36,,,,,820.9,0.3,,693.48,0.3,,564.07,0.47,,564.58,0.46,,531.42,0.35
,,1281.79,0.25,,922.35,0.15,,1072.9,0.24,,1096.82,0.39,,683.13,0.36,,,,,823.06,0.3,,695.33,0.3,,565.57,0.47,,566.09,0.46,,532.83,0.35
,,1285.13,0.25,,924.77,0.15,,1075.71,0.24,,1099.68,0.39,,684.93,0.36,,,,,825.23,0.3,,697.17,0.3,,567.07,0.47,,567.59,0.46,,534.25,0.35
,,1288.47,0.25,,927.2,0.15,,1078.52,0.24,,1102.55,0.39,,686.73,0.36,,,,,827.39,0.3,,699.01,0.3,,568.57,0.47,,569.1,0.46,,535.66,0.35
,,1291.81,0.25,,929.63,0.15,,1081.33,0.24,,1105.42,0.39,,688.53,0.36,,,,,829.55,0.3,,700.85,0.3,,570.07,0.47,,570.6,0.46,,537.07,0.36
,,1295.15,0.25,,932.05,0.15,,1084.15,0.24,,1108.29,0.39,,690.33,0.36,,,,,831.72,0.3,,702.7,0.3,,571.57,0.47,,572.11,0.46,,538.48,0.36
,,1298.49,0.25,,934.48,0.15,,1086.96,0.24,,1111.16,0.39,,692.13,0.37,,,,,833.88,0.3,,704.54,0.3,,573.08,0.47,,573.62,0.46,,539.9,0.36
,,1301.83,0.25,,936.91,0.15,,1089.77,0.24,,1114.03,0.39,,693.93,0.37,,,,,836.04,0.3,,706.38,0.3,,574.58,0.47,,575.12,0.46,,541.31,0.36
,,1305.17,0.25,,939.33,0.15,,1092.58,0.24,,1116.9,0.39,,695.73,0.37,,,,,838.21,0.3,,708.22,0.3,,576.08,0.47,,576.63,0.46,,542.72,0.36
,,1308.5,0.25,,941.76,0.15,,1095.39,0.24,,1119.8,0.4,,697.52,0.37,,,,,840.37,0.3,,710.07,0.3,,577.58,0.47,,578.13,0.46,,544.13,0.36
,,1311.84,0.25,,944.18,0.15,,1098.09,0.24,,1122.69,0.4,,699.32,0.37,,,,,842.53,0.3,,711.91,0.3,,579.08,0.47,,579.63,0.46,,545.55,0.36
,,1315.18,0.25,,946.61,0.15,,1100.92,0.24,,1125.59,0.4,,701.12,0.37,,,,,844.69,0.3,,713.75,0.3,,580.58,0.47,,581.14,0.47,,546.96,0.36
,,1318.52,0.25,,949.04,0.15,,1103.73,0.24,,1128.48,0.4,,702.92,0.37,,,,,846.86,0.3,,715.6,0.3,,582.08,0.48,,582.64,0.47,,548.37,0.36
,,1321.86,0.25,,951.46,0.15,,1106.54,0.24,,1131.37,0.4,,704.72,0.37,,,,,849.02,0.3,,717.44,0.3,,583.58,0.48,,584.14,0.47,,549.78,0.36
,,1325.2,0.25,,953.89,0.15,,1109.35,0.24,,1134.24,0.4,,706.52,0.37,,,,,851.18,0.3,,719.28,0.3,,585.07,0.48,,585.65,0.47,,551.2,0.36
,,1328.54,0.26,,956.31,0.15,,1112.16,0.24,,1137.11,0.4,,708.32,0.37,,,,,853.35,0.3,,721.12,0.3,,586.57,0.48,,587.15,0.47,,552.61,0.36
,,1331.87,0.26,,958.74,0.15,,1114.97,0.24,,1139.98,0.4,,710.12,0.37,,,,,855.51,0.3,,722.97,0.31,,588.07,0.48,,588.65,0.47,,554.02,0.36
,,1335.21,0.26,,961.17,0.15,,1117.78,0.24,,1142.85,0.4,,711.92,0.37,,,,,857.68,0.3,,724.84,0.31,,589.57,0.48,,590.16,0.47,,555.44,0.36
,,1338.55,0.26,,963.59,0.15,,1120.59,0.24,,1145.72,0.4,,713.72,0.37,,,,,859.85,0.3,,726.73,0.31,,591.06,0.48,,591.66,0.47,,556.85,0.36
,,1341.88,0.26,,966.02,0.15,,1123.4,0.24,,1148.59,0.4,,715.52,0.37,,,,,862.01,0.3,,728.58,0.31,,592.56,0.48,,593.16,0.47,,558.26,0.36
,,1345.22,0.26,,968.44,0.15,,1126.21,0.24,,1151.46,0.4,,717.31,0.37,,,,,864.18,0.3,,730.42,0.31,,594.06,0.48,,594.67,0.47,,559.67,0.36
,,1348.56,0.26,,970.87,0.15,,1129.02,0.24,,1154.33,0.4,,719.11,0.37,,,,,866.34,0.3,,732.27,0.31,,595.56,0.48,,596.17,0.47,,561.09,0.36
,,1351.9,0.26,,973.3,0.15,,1131.83,0.24,,1157.2,0.4,,720.91,0.37,,,,,868.51,0.3,,734.11,0.31,,597.06,0.48,,597.67,0.47,,562.5,0.36
,,1355.23,0.26,,975.73,0.15,,1134.64,0.24,,1160.07,0.4,,722.71,0.37,,,,,870.67,0.3,,735.95,0.31,,598.55,0.48,,599.17,0.47,,563.91,0.36
