Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,97.28,3080.39
,,,97.28,2000.65
,,,97.28,709.66
,,,97.29,-463.67
,,,97.29,-1451.53
,,,97.29,-2053.9
,,,97.29,-2042.03
,,,97.29,-1329.98
,,,97.3,-89.97
,,,97.3,1116.58
,,,97.3,1699.34
,,,97.3,1685.94
,,,97.3,1701.3
,,,97.3,2058.33
,,,97.31,2361.99
,,,97.31,2325.4
,,,97.31,2206.46
,,,97.31,2307.73
,,,97.31,2649.22
,,,97.32,3014.73
,,,97.32,3157.79
,,,97.32,3003.48
,,,97.32,2685.16
,,,97.32,2499.41
,,,97.32,2458.32
,,,97.33,2070.04
,,,97.33,1168.71
,,,97.33,244.82
,,,97.33,-278.73
,,,97.33,-319.53
,,,97.34,-18.8
,,,97.34,423.46
,,,97.34,990.54
,,,97.34,1516.25
,,,97.34,1533.36
,,,97.35,810.92
,,,97.35,-565.11
,,,97.35,-2258.03
,,,97.35,-3490
,,,97.35,-3457.72
,,,97.35,-1996.51
,,,97.36,234.46
,,,97.36,2232.23
,,,97.36,3565.89
,,,97.36,4331.6
,,,97.36,4377.38
,,,97.37,3598.49
,,,97.37,2402.08
,,,97.37,1224.8
,,,97.37,346.35
,,,97.37,-47.49
,,,97.37,-217.87
,,,97.38,-580.22
,,,97.38,-979.55
,,,97.38,-1027.11
,,,97.38,-721.01
,,,97.38,-123.54
,,,97.39,742.56
,,,97.39,1325.54
,,,97.39,1008.63
,,,97.39,159.09
,,,97.39,-466.71
,,,97.39,-931.74
,,,97.4,-1714.78
,,,97.4,-2729.72
,,,97.4,-3394.37
,,,97.4,-3270.38
,,,97.4,-2439.26
,,,97.41,-1373.22
,,,97.41,-460.79
,,,97.41,277.61
,,,97.41,929.05
,,,97.41,1275.45
,,,97.41,1101.9
,,,97.42,829.07
,,,97.42,1024.35
,,,97.42,1540.67
,,,97.42,1925.18
,,,97.42,2129.6
,,,97.43,2366.83
,,,97.43,2701.43
,,,97.43,2904.33
,,,97.43,2759.18
,,,97.43,2307.75
,,,97.43,1530.36
,,,97.44,447.29
,,,97.44,-515.79
,,,97.44,-1051.04
,,,97.44,-1230.7
,,,97.44,-940.52
,,,97.45,-4.17
,,,97.45,1169.19
,,,97.45,1661.78
,,,97.45,807.65
,,,97.45,-1097.68
,,,97.45,-2919.57
,,,97.46,-3684.71
,,,97.46,-3451.71
,,,97.46,-3043.43
,,,97.46,-2977.87
,,,97.46,-3107.2
,,,97.47,-3086.69
,,,97.47,-2639.05
,,,97.47,-1680.86
,,,97.47,-302.37
,,,97.47,1358.09
,,,97.47,2886.35
,,,97.48,3830.89
,,,97.48,4122.09
,,,97.48,3749.7
,,,97.48,2968.98
,,,97.48,2311.34
,,,97.49,1499.79
,,,97.49,76.11
,,,97.49,-1270.11
,,,97.49,-1776.17
,,,97.49,-1547.54
,,,97.49,-975.82
,,,97.5,-592.9
,,,97.5,-875.1
,,,97.5,-1717.73
,,,97.5,-2532.92
,,,97.5,-2767.63
,,,97.51,-2446.21
,,,97.51,-2007.38
,,,97.51,-1612.76
,,,97.51,-1155.28
,,,97.51,-558.21
,,,97.51,-7.93
,,,97.52,-57.94
,,,97.52,-871.73
,,,97.52,-1947.33
,,,97.52,-2936.69
,,,97.52,-3617.74
,,,97.53,-3618.76
,,,97.53,-3031.2
,,,97.53,-2367.62
,,,97.53,-1850.44
,,,97.53,-1426.46
,,,97.53,-1070.44
,,,97.54,-679.95
,,,97.54,-138.38
,,,97.54,377.35
,,,97.54,787.6
,,,97.54,1447.19
,,,97.55,2247.7
,,,97.55,2394.5
,,,97.55,1685.81
,,,97.55,842.9
,,,97.55,519.62
,,,97.55,677.73
,,,97.56,936.72
,,,97.56,1269.48
,,,97.56,1711.51
,,,97.56,1770.39
,,,97.56,1067.45
,,,97.57,-142.24
,,,97.57,-1335.61
,,,97.57,-2054.84
,,,97.57,-2340.09
,,,97.57,-2516.82
,,,97.57,-2358.66
,,,97.58,-1599.03
,,,97.58,-728.69
,,,97.58,-325.43
,,,97.58,-464.81
,,,97.58,-966.5
,,,97.59,-1579.17
,,,97.59,-2083.93
,,,97.59,-2505.93
,,,97.59,-3099.47
,,,97.59,-3845.53
,,,97.59,-4307.6
,,,97.6,-4274.16
,,,97.6,-3759.19
,,,97.6,-2630.51
,,,97.6,-1177.23
,,,97.6,-141.46
,,,97.61,205.97
,,,97.61,102.53
,,,97.61,-241.94
,,,97.61,-716.32
,,,97.61,-1119.7
,,,97.61,-1117.48
,,,97.62,-757.78
,,,97.62,-561.72
,,,97.62,-584.52
,,,97.62,-489.09
,,,97.62,-486.98
,,,97.63,-896.64
,,,97.63,-1477.43
,,,97.63,-1940.15
,,,97.63,-2284.88
,,,97.63,-2589.39
,,,97.64,-2864.95
,,,97.64,-3027.24
,,,97.64,-3071.37
,,,97.64,-3007.52
,,,97.64,-2615.56
,,,97.64,-1935.54
,,,97.65,-1555.24
,,,97.65,-1736.99
,,,97.65,-2056.05
,,,97.65,-2111.26
,,,97.65,-1785.82
,,,97.66,-1055.74
,,,97.66,-10.7
,,,97.66,1201.79
,,,97.66,2347.62
,,,97.66,3037.59
,,,97.66,3166.31
,,,97.67,3060.09
,,,97.67,2818.11
,,,97.67,2197.55
,,,97.67,1259.94
,,,97.67,431.92
,,,97.68,78.1
,,,97.68,388.61
,,,97.68,1216.67
,,,97.68,1886.56
,,,97.68,1824.42
,,,97.68,1357.62
,,,97.69,1182.57
,,,97.69,1409.77
,,,97.69,1845.38
,,,97.69,2380.45
,,,97.69,2555.64
,,,97.7,1843.19
,,,97.7,510.7
,,,97.7,-658.47
,,,97.7,-1171.29
,,,97.7,-997.41
,,,97.7,-521.06
,,,97.71,-408.42
,,,97.71,-1037.09
,,,97.71,-1958.07
,,,97.71,-2306.89
,,,97.71,-1781.96
,,,97.72,-728.52
,,,97.72,457.18
,,,97.72,1407.6
,,,97.72,1760.34
,,,97.72,1512.02
,,,97.72,1115.72
,,,97.73,965.06
,,,97.73,888.99
,,,97.73,594.31
,,,97.73,224.46
,,,97.73,-121.24
,,,97.74,-582.87
,,,97.74,-1139.29
,,,97.74,-1711.5
,,,97.74,-2062.54
,,,97.74,-1916.47
,,,97.74,-1698.8
,,,97.75,-1926.83
,,,97.75,-2329.75
,,,97.75,-2482.68
,,,97.75,-2224.75
,,,97.75,-1660.04
,,,97.76,-1075.94
,,,97.76,-365.48
,,,97.76,457.35
,,,97.76,819.55
,,,97.76,875.87
,,,97.76,1373.25
,,,97.77,2259.07
,,,97.77,3013.18
,,,97.77,3256.67
,,,97.77,2818.54
,,,97.77,1939.59
,,,97.78,894.27
,,,97.78,-99.82
,,,97.78,-660.82
,,,97.78,-910.84
,,,97.78,-1448.26
,,,97.78,-2404.93
,,,97.79,-3554.46
,,,97.79,-4773.07
,,,97.79,-5853.49
,,,97.79,-6465.02
,,,97.79,-6474.35
,,,97.8,-6167.77
,,,97.8,-5985.96
,,,97.8,-5910.63
,,,97.8,-5427.9
,,,97.8,-4283.44
,,,97.8,-2863.11
,,,97.81,-1688.68
,,,97.81,-985.29
,,,97.81,-601.89
,,,97.81,-164.65
,,,97.81,141.1
,,,97.82,-373.14
,,,97.82,-1417.21
,,,97.82,-1871.18
,,,97.82,-1423.8
,,,97.82,-490.78
,,,97.82,590.51
,,,97.83,1490.39
,,,97.83,2025.71
,,,97.83,2344.64
,,,97.83,2646.08
,,,97.83,3027.13
,,,97.84,3465.3
,,,97.84,3781.34
,,,97.84,3745.39
,,,97.84,3315.69
,,,97.84,2646.28
,,,97.84,1846.14
,,,97.85,1115.66
,,,97.85,758.44
,,,97.85,699.96
,,,97.85,694.81
,,,97.85,684.69
,,,97.86,459.8
,,,97.86,-132.99
,,,97.86,-778.36
,,,97.86,-1040.27
,,,97.86,-666.67
,,,97.86,203.02
,,,97.87,996.52
,,,97.87,1349.46
,,,97.87,1478.12
,,,97.87,1723.67
,,,97.87,2056.51
,,,97.88,2312.86
,,,97.88,2717.56
,,,97.88,3336.7
,,,97.88,3492.92
,,,97.88,2607.16
,,,97.88,717.76
,,,97.89,-1751.31
,,,97.89,-3933.67
,,,97.89,-5158.23
,,,97.89,-5569.91
,,,97.89,-5438.91
,,,97.9,-4737.46
,,,97.9,-3425.83
,,,97.9,-1714.43
,,,97.9,-286.56
,,,97.9,351.1
,,,97.9,594.1
,,,97.91,843.14
,,,97.91,774.17
,,,97.91,236.71
,,,97.91,-271.53
,,,97.91,-412.58
,,,97.92,-363.42
,,,97.92,-257.68
,,,97.92,-89.47
,,,97.92,-109.48
,,,97.92,-457.89
,,,97.92,-608.94
,,,97.93,-43.43
,,,97.93,855.9
,,,97.93,1411.52
,,,97.93,1608.52
,,,97.93,1646.91
,,,97.94,1472.82
,,,97.94,1326.44
,,,97.94,1546.43
,,,97.94,1855.78
,,,97.94,1831.48
,,,97.95,1487.41
,,,97.95,1106.85
,,,97.95,1032.24
,,,97.95,1144.05
,,,97.95,657.53
,,,97.95,-668.69
,,,97.96,-1863.6
,,,97.96,-2136.11
,,,97.96,-1763.52
,,,97.96,-1050.9
,,,97.96,-23.87
,,,97.97,717.13
,,,97.97,675.56
,,,97.97,457.6
,,,97.97,665.06
,,,97.97,1098
,,,97.97,1606.48
,,,97.98,2169.57
,,,97.98,2463.47
,,,97.98,2473.29
,,,97.98,2675.03
,,,97.98,3110.7
,,,97.99,3220.79
,,,97.99,2714.81
,,,97.99,1885.14
,,,97.99,1154.24
,,,97.99,766.54
,,,97.99,737.57
,,,98,860.15
,,,98,847.97
,,,98,637.6
,,,98,529.9
,,,98,666.49
,,,98.01,608.96
,,,98.01,76.97
,,,98.01,-547.25
,,,98.01,-897.5
,,,98.01,-857.3
,,,98.01,-263.51
,,,98.02,797.07
,,,98.02,1955.71
,,,98.02,3056.65
,,,98.02,3997.53
,,,98.02,4442.93
,,,98.03,4437.83
,,,98.03,4657.9
,,,98.03,5354.48
,,,98.03,5954.38
,,,98.03,6195.1
,,,98.03,6427.25
,,,98.04,6641.69
,,,98.04,6510.84
,,,98.04,6218.82
,,,98.04,6213.08
,,,98.04,6436.47
,,,98.05,6441.41
,,,98.05,6002.32
,,,98.05,5258.66
,,,98.05,4481.91
,,,98.05,3945.99
,,,98.05,3796.86
,,,98.06,3839.02
,,,98.06,3715.25
,,,98.06,3491.49
,,,98.06,3580.96
,,,98.06,3939.41
,,,98.07,4150.27
,,,98.07,4187.66
,,,98.07,4228.15
,,,98.07,4297.35
,,,98.07,4469.08
,,,98.07,4681.56
,,,98.08,4767.98
,,,98.08,4787.77
,,,98.08,4511.44
,,,98.08,3429.04
,,,98.08,1774.84
,,,98.09,249.81
,,,98.09,-1020.93
,,,98.09,-2206.64
,,,98.09,-3093.94
,,,98.09,-3223.78
,,,98.09,-2395.75
,,,98.1,-1001.04
,,,98.1,221.45
,,,98.1,854.39
,,,98.1,1058.36
,,,98.1,1213.79
,,,98.11,1471.22
,,,98.11,1625.43
,,,98.11,1443.89
,,,98.11,1085.57
,,,98.11,974.11
,,,98.11,1178.43
,,,98.12,1167.82
,,,98.12,420.88
,,,98.12,-948.88
,,,98.12,-2382.76
,,,98.12,-3219.19
,,,98.13,-2945.9
,,,98.13,-1923.08
,,,98.13,-1234.91
,,,98.13,-1206.74
,,,98.13,-1324.12
,,,98.13,-1550.95
,,,98.14,-2214.08
,,,98.14,-3068.79
,,,98.14,-3477.86
,,,98.14,-3164.32
,,,98.14,-2461.95
,,,98.15,-1904.06
,,,98.15,-1894.54
,,,98.15,-2755.24
,,,98.15,-4432.36
,,,98.15,-6291.88
,,,98.15,-7659.45
,,,98.16,-8332.58
,,,98.16,-8495.65
,,,98.16,-8172.91
,,,98.16,-7077.64
,,,98.16,-5329.73
,,,98.17,-3576.6
,,,98.17,-2228.02
,,,98.17,-1256.64
,,,98.17,-533.37
,,,98.17,-159.19
,,,98.17,-345.58
,,,98.18,-835.12
,,,98.18,-1289.21
,,,98.18,-1891.37
,,,98.18,-2540.25
,,,98.18,-2538.99
,,,98.19,-1565.21
,,,98.19,14.96
,,,98.19,1625.35
,,,98.19,2898.62
,,,98.19,3722.8
,,,98.19,4130.22
,,,98.2,4401.51
,,,98.2,4680.49
,,,98.2,4599.01
,,,98.2,3930.89
,,,98.2,2732.55
,,,98.21,955.3
,,,98.21,-989.98
,,,98.21,-2160.03
,,,98.21,-2055.62
,,,98.21,-1008.27
,,,98.21,160.48
,,,98.22,801.93
,,,98.22,874.13
,,,98.22,545.45
,,,98.22,-22.6
,,,98.22,-362.89
,,,98.23,-32.08
,,,98.23,746.07
,,,98.23,1473.43
,,,98.23,2205.27
,,,98.23,3150.91
,,,98.24,3808.77
,,,98.24,3461.03
,,,98.24,2208.67
,,,98.24,946.37
,,,98.24,382.43
,,,98.24,325.64
,,,98.25,259.83
,,,98.25,13.53
,,,98.25,-587.83
,,,98.25,-1667.27
,,,98.25,-2851.85
,,,98.26,-3534.64
,,,98.26,-3255.97
,,,98.26,-2236.91
,,,98.26,-1468.42
,,,98.26,-1378.26
,,,98.26,-1366.91
,,,98.27,-1019.26
,,,98.27,-449.09
,,,98.27,250.83
,,,98.27,1088.09
,,,98.27,1995.14
,,,98.28,2758.55
,,,98.28,3189.96
,,,98.28,3306.91
,,,98.28,3291.31
,,,98.28,3416.67
,,,98.28,3826.65
,,,98.29,4355.12
,,,98.29,4615.71
,,,98.29,4292.39
,,,98.29,3669.95
,,,98.29,3330.1
,,,98.3,3136.74
,,,98.3,2685.97
,,,98.3,2207.21
,,,98.3,1976.66
,,,98.3,1871.46
,,,98.3,1761.48
,,,98.31,1560.7
,,,98.31,1077.1
,,,98.31,175.61
,,,98.31,-821.67
,,,98.31,-1376.8
,,,98.32,-1596.98
,,,98.32,-1873.24
,,,98.32,-2074.79
,,,98.32,-2184.83
,,,98.32,-2567.87
,,,98.32,-3183.11
,,,98.33,-3694.53
,,,98.33,-3905.32
,,,98.33,-3580.06
,,,98.33,-2672.72
,,,98.33,-1650.04
,,,98.34,-978.16
,,,98.34,-655.22
,,,98.34,-482.27
,,,98.34,-327.5
,,,98.34,-146.18
,,,98.34,48.22
,,,98.35,421.37
,,,98.35,1022.22
,,,98.35,1191.31
,,,98.35,488.34
,,,98.35,-362.04
,,,98.36,-717.08
,,,98.36,-912.22
,,,98.36,-1266.47
,,,98.36,-1503.45
,,,98.36,-1253.9
,,,98.36,-593.62
,,,98.37,-35.87
,,,98.37,9.08
,,,98.37,-560.69
,,,98.37,-1583
,,,98.37,-2483.2
,,,98.38,-2737.04
,,,98.38,-2340.33
,,,98.38,-1432.42
,,,98.38,-254.53
,,,98.38,764.95
,,,98.38,1556.75
,,,98.39,2276.78
,,,98.39,2645.6
,,,98.39,2285.42
,,,98.39,1472.96
,,,98.39,1079.83
,,,98.4,1615.86
,,,98.4,2447.61
,,,98.4,2496.46
,,,98.4,1481.76
,,,98.4,-4.54
,,,98.4,-1102.02
,,,98.41,-1219.18
,,,98.41,-445.19
,,,98.41,690.54
,,,98.41,1724.87
,,,98.41,2277.03
,,,98.42,2131.48
,,,98.42,1507.72
,,,98.42,861.43
,,,98.42,438.25
,,,98.42,156.12
,,,98.42,-141.37
,,,98.43,-509.12
,,,98.43,-1019.24
,,,98.43,-1688.44
,,,98.43,-2340.26
,,,98.43,-2887.28
,,,98.44,-3381.45
,,,98.44,-3675.62
,,,98.44,-3589.13
,,,98.44,-3270.56
,,,98.44,-2944.17
,,,98.44,-2590.04
,,,98.45,-2175.91
,,,98.45,-1798.66
,,,98.45,-1439.69
,,,98.45,-1114.4
,,,98.45,-1084.03
,,,98.46,-1377.33
,,,98.46,-1632.44
,,,98.46,-1521.16
,,,98.46,-849.73
,,,98.46,216.64
,,,98.46,1078.98
,,,98.47,1460.98
,,,98.47,1539.64
,,,98.47,1375.97
,,,98.47,1104.86
,,,98.47,1116.74
,,,98.48,1578.84
,,,98.48,2119.78
,,,98.48,2076.06
,,,98.48,1239.47
,,,98.48,39.08
,,,98.48,-1142.96
,,,98.49,-1928.66
,,,98.49,-1733.46
,,,98.49,-501.92
,,,98.49,1193.78
,,,98.49,2679.51
,,,98.5,3287.07
,,,98.5,2922.93
,,,98.5,2215.76
,,,98.5,1478.78
,,,98.5,690.29
,,,98.5,66.26
,,,98.51,-478.26
,,,98.51,-1195.32
,,,98.51,-1726.04
,,,98.51,-1823.54
,,,98.51,-1932.85
,,,98.52,-2222.36
,,,98.52,-2239.8
,,,98.52,-1727.51
,,,98.52,-1054.58
,,,98.52,-861.51
,,,98.53,-1392.32
,,,98.53,-2332.64
,,,98.53,-3260.01
,,,98.53,-3852.8
,,,98.53,-4026.04
,,,98.53,-4133.62
,,,98.54,-4515
,,,98.54,-5068.26
,,,98.54,-5584.06
,,,98.54,-5965.84
,,,98.54,-6106.89
,,,98.55,-5894.33
,,,98.55,-5249.43
,,,98.55,-4143.12
,,,98.55,-2623.21
,,,98.55,-923.28
,,,98.55,470.64
,,,98.56,1172.17
,,,98.56,1219.96
,,,98.56,927.12
,,,98.56,665.88
,,,98.56,616.9
,,,98.57,660.38
,,,98.57,715.26
,,,98.57,732.41
,,,98.57,444.78
,,,98.57,-192.78
,,,98.57,-832.75
,,,98.58,-1418.41
,,,98.58,-2271.37
,,,98.58,-3462.66
,,,98.58,-4752.86
,,,98.58,-5925.87
,,,98.59,-6717.67
,,,98.59,-6727.93
,,,98.59,-5765.37
,,,98.59,-4087.54
,,,98.59,-2269.75
,,,98.59,-1007.95
,,,98.6,-627.36
,,,98.6,-616.87
,,,98.6,-284.59
,,,98.6,332.54
,,,98.6,882.86
,,,98.61,1309.66
,,,98.61,1545.12
,,,98.61,1520.84
,,,98.61,1542.35
,,,98.61,1823.6
,,,98.61,2033.4
,,,98.62,1852.84
,,,98.62,1431.56
,,,98.62,1038.81
,,,98.62,698.77
,,,98.62,294.35
,,,98.63,-120.3
,,,98.63,-294.84
,,,98.63,-261.8
,,,98.63,-473.69
,,,98.63,-996.19
,,,98.63,-1273
,,,98.64,-1201.49
,,,98.64,-1303.4
,,,98.64,-1676.88
,,,98.64,-2096.05
,,,98.64,-2620.7
,,,98.65,-3163.9
,,,98.65,-3430.12
,,,98.65,-3441.46
,,,98.65,-3452.5
,,,98.65,-3730.74
,,,98.65,-4249.58
,,,98.66,-4425.41
,,,98.66,-3886.81
,,,98.66,-2948.47
,,,98.66,-1922.34
,,,98.66,-1024.96
,,,98.67,-587.99
,,,98.67,-548.42
,,,98.67,-471.5
,,,98.67,-116.26
,,,98.67,383.93
,,,98.67,451.95
,,,98.68,-411.3
,,,98.68,-1768.69
,,,98.68,-2742.13
,,,98.68,-2925.6
,,,98.68,-2194.21
,,,98.69,-692.02
,,,98.69,905.5
,,,98.69,2045.24
,,,98.69,2673.3
,,,98.69,2830.07
,,,98.69,2734.31
,,,98.7,2755.14
,,,98.7,2825.19
,,,98.7,2568.34
,,,98.7,1883.92
,,,98.7,990.46
,,,98.71,120.51
,,,98.71,-759.77
,,,98.71,-1766.25
,,,98.71,-2684.81
,,,98.71,-3153.11
,,,98.71,-2987.24
,,,98.72,-2334.48
,,,98.72,-1891.91
,,,98.72,-2325.95
,,,98.72,-3325
,,,98.72,-4033.81
,,,98.73,-3997.65
,,,98.73,-3110.8
,,,98.73,-1543.64
,,,98.73,-24.05
,,,98.73,878.39
,,,98.73,1623.1
,,,98.74,2687.17
,,,98.74,3576.77
,,,98.74,4023.9
,,,98.74,4506.48
,,,98.74,5006.14
,,,98.75,5186.4
,,,98.75,5309.83
,,,98.75,5571.02
,,,98.75,5618.64
,,,98.75,5107.82
,,,98.75,4034.98
,,,98.76,2902.1
,,,98.76,2345.08
,,,98.76,2288.23
,,,98.76,2135.56
,,,98.76,1587.54
,,,98.77,827.99
,,,98.77,277.57
,,,98.77,133.43
,,,98.77,181.22
,,,98.77,235.61
,,,98.77,275.79
,,,98.78,218.06
,,,98.78,86.23
,,,98.78,84.48
,,,98.78,243.52
,,,98.78,263.07
,,,98.79,-158.65
,,,98.79,-747.36
,,,98.79,-689.63
,,,98.79,351.23
,,,98.79,1792.48
,,,98.79,3029.38
,,,98.8,3910.5
,,,98.8,4251.75
,,,98.8,3888.79
,,,98.8,3062.08
,,,98.8,2173.47
,,,98.81,1597.12
,,,98.81,1543.58
,,,98.81,1676.22
,,,98.81,1609.42
,,,98.81,1554.37
,,,98.82,1648.2
,,,98.82,1524.23
,,,98.82,787.86
,,,98.82,-670.4
,,,98.82,-2230.57
,,,98.82,-2891.94
,,,98.83,-2757.78
,,,98.83,-2789.4
,,,98.83,-3158.05
,,,98.83,-3148.54
,,,98.83,-2183.92
,,,98.84,-579.47
,,,98.84,650.71
,,,98.84,804.17
,,,98.84,-288.93
,,,98.84,-2298.38
,,,98.84,-4146.94
,,,98.85,-5270.11
,,,98.85,-6310.66
,,,98.85,-7338.57
,,,98.85,-7496.69
,,,98.85,-6657.64
,,,98.86,-5500.63
,,,98.86,-4459.87
,,,98.86,-3538.94
,,,98.86,-2717.79
,,,98.86,-2027.43
,,,98.86,-1234.84
,,,98.87,-149.96
,,,98.87,826.18
,,,98.87,1192.11
,,,98.87,958.84
,,,98.87,390.41
,,,98.88,-435.9
,,,98.88,-1465.38
,,,98.88,-2153.77
,,,98.88,-1885.22
,,,98.88,-804.7
,,,98.88,526.46
,,,98.89,1631.43
,,,98.89,2216.74
,,,98.89,2478.52
,,,98.89,2616.36
,,,98.89,2324.65
,,,98.9,1504.92
,,,98.9,518.38
,,,98.9,-190.15
,,,98.9,-221.59
,,,98.9,341.88
,,,98.9,992.28
,,,98.91,1439.59
,,,98.91,1573.37
,,,98.91,1422.24
,,,98.91,1225.17
,,,98.91,966.57
,,,98.92,525.77
,,,98.92,233.54
,,,98.92,362.76
,,,98.92,557.79
,,,98.92,423.32
,,,98.92,32.31
,,,98.93,-437.77
,,,98.93,-844.6
,,,98.93,-975.37
,,,98.93,-757.49
,,,98.93,-33.76
,,,98.94,1422.65
,,,98.94,3072.39
,,,98.94,4048.44
,,,98.94,4301.55
,,,98.94,4186.79
,,,98.94,3901.52
,,,98.95,3661.39
,,,98.95,3609.95
,,,98.95,3768.02
,,,98.95,3991.84
,,,98.95,3973.58
,,,98.96,3633.8
,,,98.96,3073.92
,,,98.96,2418.12
,,,98.96,1995.27
,,,98.96,2009.68
,,,98.96,2365.68
,,,98.97,2977.57
,,,98.97,3755.86
,,,98.97,4684.61
,,,98.97,5730.68
,,,98.97,6522.67
,,,98.98,6829.73
,,,98.98,6775.94
,,,98.98,6328.52
,,,98.98,5476.17
,,,98.98,4433.25
,,,98.98,3315.24
,,,98.99,2290.59
,,,98.99,1761.42
,,,98.99,1945.83
,,,98.99,2534.44
,,,98.99,3028.29
,,,99,3393.65
,,,99,3930.29
,,,99,4510.61
,,,99,4498.51
,,,99,3485.18
,,,99,1987.67
,,,99.01,1037.8
,,,99.01,847.01
,,,99.01,718.94
,,,99.01,397.21
,,,99.01,446.36
,,,99.02,1283.7
,,,99.02,2577.85
,,,99.02,3727.84
,,,99.02,4431.39
,,,99.02,4506.69
,,,99.02,3831.8
,,,99.03,2703.26
,,,99.03,1600.95
,,,99.03,786.65
,,,99.03,392.11
,,,99.03,346.41
,,,99.04,375.69
,,,99.04,462.87
,,,99.04,884.5
,,,99.04,1726.51
,,,99.04,2754.33
,,,99.04,3609.86
,,,99.05,3907.92
,,,99.05,3475.15
,,,99.05,2619.15
,,,99.05,1786.78
,,,99.05,1120.68
,,,99.06,671.68
,,,99.06,567.08
,,,99.06,769.64
,,,99.06,1078.62
,,,99.06,1309.05
,,,99.06,1297.51
,,,99.07,947.79
,,,99.07,434.41
,,,99.07,210.37
,,,99.07,520.92
,,,99.07,1067.81
,,,99.08,1437.8
,,,99.08,1493.47
,,,99.08,1245.68
,,,99.08,828.39
,,,99.08,529.31
,,,99.08,542.4
,,,99.09,756.87
,,,99.09,815.33
,,,99.09,412.33
,,,99.09,-382.88
,,,99.09,-1202.3
,,,99.1,-1834.23
,,,99.1,-2360.5
,,,99.1,-2687.12
,,,99.1,-2461.17
,,,99.1,-1773.81
,,,99.11,-1224.33
,,,99.11,-1141.4
,,,99.11,-1434.1
,,,99.11,-1918.2
,,,99.11,-2354.81
,,,99.11,-2569.73
,,,99.12,-2464.76
,,,99.12,-1800.08
,,,99.12,-461.11
,,,99.12,1171.69
,,,99.12,2497.29
,,,99.13,3143.79
,,,99.13,3129.25
,,,99.13,2788.75
,,,99.13,2496.48
,,,99.13,2401.78
,,,99.13,2443.47
,,,99.14,2507.99
,,,99.14,2415.75
,,,99.14,1849.97
,,,99.14,624.27
,,,99.14,-937.21
,,,99.15,-2121.36
,,,99.15,-2414.59
,,,99.15,-1866.33
,,,99.15,-791.38
,,,99.15,607.35
,,,99.15,2134.77
,,,99.16,3562.22
,,,99.16,4682.45
,,,99.16,5033.67
,,,99.16,4218.18
,,,99.16,2778.54
,,,99.17,1835.75
,,,99.17,1898.75
,,,99.17,2643.32
,,,99.17,3445.12
,,,99.17,3937.83
,,,99.17,4271.03
,,,99.18,4610.97
,,,99.18,4730.8
,,,99.18,4457.73
,,,99.18,3850.47
,,,99.18,2951.08
,,,99.19,2007.02
,,,99.19,1391.52
,,,99.19,1096.95
,,,99.19,992.08
,,,99.19,1098.82
,,,99.19,1298.78
,,,99.2,1480.81
,,,99.2,1611.01
,,,99.2,1540.51
,,,99.2,1428.4
,,,99.2,1525.98
,,,99.21,1495.33
,,,99.21,1094.54
,,,99.21,502.09
,,,99.21,-292.73
,,,99.21,-985.35
,,,99.21,-962.69
,,,99.22,-426.7
,,,99.22,-45.07
,,,99.22,-210.78
,,,99.22,-1111.31
,,,99.22,-2383.09
,,,99.23,-3416.12
,,,99.23,-4114.42
,,,99.23,-4410.11
,,,99.23,-4140.32
,,,99.23,-3585.19
,,,99.23,-3106.51
,,,99.24,-2989.51
,,,99.24,-3430.57
,,,99.24,-3788.65
,,,99.24,-3088.58
,,,99.24,-1474.66
,,,99.25,140.46
,,,99.25,1285.99
,,,99.25,1967.33
,,,99.25,2277.16
,,,99.25,2426.73
,,,99.25,2708.63
,,,99.26,3116.42
,,,99.26,3234.46
,,,99.26,2736.45
,,,99.26,1672.62
,,,99.26,324.83
,,,99.27,-813.46
,,,99.27,-1512.35
,,,99.27,-2360.46
,,,99.27,-3768.55
,,,99.27,-4995.17
,,,99.27,-5240.7
,,,99.28,-4655.84
,,,99.28,-3793.88
,,,99.28,-3023.27
,,,99.28,-2381.64
,,,99.28,-1674.59
,,,99.29,-841.93
,,,99.29,-18.63
,,,99.29,662.54
,,,99.29,1217.97
,,,99.29,1811.84
,,,99.29,2421.17
,,,99.3,2888.05
,,,99.3,3239.11
,,,99.3,3305.04
,,,99.3,2733.49
,,,99.3,1605.45
,,,99.31,134.7
,,,99.31,-1664.21
,,,99.31,-3510.24
,,,99.31,-4850.61
,,,99.31,-5398.39
,,,99.31,-5423.71
,,,99.32,-5406.81
,,,99.32,-5345.08
,,,99.32,-4884.94
,,,99.32,-3904.75
,,,99.32,-2462.99
,,,99.33,-808.97
,,,99.33,512.95
,,,99.33,1182.03
,,,99.33,1410.58
,,,99.33,1542.63
,,,99.33,1778.86
,,,99.34,2311.89
,,,99.34,3209.73
,,,99.34,4096.51
,,,99.34,4516.24
,,,99.34,4386.76
,,,99.35,3739.49
,,,99.35,2824.49
,,,99.35,2318.12
,,,99.35,2490.59
,,,99.35,2812.33
,,,99.35,2760.11
,,,99.36,2227.63
,,,99.36,1266.92
,,,99.36,12.46
,,,99.36,-1202.08
,,,99.36,-1961.06
,,,99.37,-2120.15
,,,99.37,-1881.41
,,,99.37,-1489.07
