Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0.82,2890.08
,,,0.82,3640.84
,,,0.82,4000.84
,,,0.82,3852.82
,,,0.82,3343.46
,,,0.83,2663.92
,,,0.83,1811.46
,,,0.83,775.88
,,,0.83,-55.45
,,,0.83,-265.7
,,,0.83,-233.4
,,,0.84,-507.26
,,,0.84,-936.14
,,,0.84,-1325.78
,,,0.84,-1740.68
,,,0.84,-2138.33
,,,0.85,-2604.06
,,,0.85,-3233.63
,,,0.85,-3872.6
,,,0.85,-4535.93
,,,0.85,-5307.65
,,,0.85,-5867.07
,,,0.86,-5866.43
,,,0.86,-5390.27
,,,0.86,-4625.67
,,,0.86,-3629.08
,,,0.86,-2662.35
,,,0.87,-2001.51
,,,0.87,-1414.72
,,,0.87,-625.67
,,,0.87,263.52
,,,0.87,1229.78
,,,0.88,2306.78
,,,0.88,3291.54
,,,0.88,4034.12
,,,0.88,4512.03
,,,0.88,4672.47
,,,0.88,4558.1
,,,0.89,4284.96
,,,0.89,3894.91
,,,0.89,3514.69
,,,0.89,3434.45
,,,0.89,3680.81
,,,0.9,3901.27
,,,0.9,4028.44
,,,0.9,4406.53
,,,0.9,5085.11
,,,0.9,5573.44
,,,0.9,5215.63
,,,0.91,3801.26
,,,0.91,1940.01
,,,0.91,513.97
,,,0.91,-55.49
,,,0.91,37.46
,,,0.92,144.15
,,,0.92,-295.29
,,,0.92,-1290.52
,,,0.92,-2369.08
,,,0.92,-2823.01
,,,0.92,-2318.53
,,,0.93,-1300.56
,,,0.93,-364.67
,,,0.93,364.03
,,,0.93,1106.73
,,,0.93,1956.38
,,,0.94,2684.31
,,,0.94,3222.36
,,,0.94,3633.42
,,,0.94,3560.42
,,,0.94,2807.58
,,,0.94,1813.43
,,,0.95,1022.94
,,,0.95,794.38
,,,0.95,1340.11
,,,0.95,2189.38
,,,0.95,2694.15
,,,0.96,2811.7
,,,0.96,2812.52
,,,0.96,2864.39
,,,0.96,3088.57
,,,0.96,3549.62
,,,0.96,4059.88
,,,0.97,4239.01
,,,0.97,3797.76
,,,0.97,2705.91
,,,0.97,1370.94
,,,0.97,290.7
,,,0.98,-755.21
,,,0.98,-2220.87
,,,0.98,-3777.58
,,,0.98,-4818.96
,,,0.98,-5202.3
,,,0.98,-5166.13
,,,0.99,-5221.83
,,,0.99,-5687.47
,,,0.99,-6135.11
,,,0.99,-5966.72
,,,0.99,-5383.5
,,,1,-5116.77
,,,1,-5276.46
,,,1,-5303.37
,,,1,-5044.52
,,,1,-4809.28
,,,1,-4516.43
,,,1.01,-3744.36
,,,1.01,-2455.61
,,,1.01,-1160.38
,,,1.01,-415.78
,,,1.01,-431.06
,,,1.02,-1081.89
,,,1.02,-1946.49
,,,1.02,-2538.77
,,,1.02,-2683.44
,,,1.02,-2386.81
,,,1.02,-1721.48
,,,1.03,-1040.46
,,,1.03,-650.92
,,,1.03,-366.86
,,,1.03,-103.42
,,,1.03,-539.07
,,,1.04,-2132.88
,,,1.04,-4089.57
,,,1.04,-5580.18
,,,1.04,-6776.58
,,,1.04,-7797.5
,,,1.04,-8342.16
,,,1.05,-8350.73
,,,1.05,-7958.83
,,,1.05,-7479.58
,,,1.05,-7215
,,,1.05,-6990.13
,,,1.06,-6567.74
,,,1.06,-5878.05
,,,1.06,-4867.4
,,,1.06,-3784.74
,,,1.06,-2782.54
,,,1.06,-1742.55
,,,1.07,-1092.11
,,,1.07,-1317.19
,,,1.07,-1963.57
,,,1.07,-2208.65
,,,1.07,-1669.86
,,,1.08,-496.2
