Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,179.86,0.2,,121.34,0.13,,145.85,0.21,,150.01,0.29,,,47,0.15,,39.62,0.12,,44.52,0.2,,,53.98,0.16,,71.61,0.15,,63.43,0.12
,,,183.2,0.2,,123.76,0.13,,148.66,0.21,,152.88,0.29,,,48.08,0.15,,40.57,0.12,,45.45,0.21,,,55.16,0.16,,73.01,0.15,,64.89,0.12
,,,186.54,0.2,,126.19,0.13,,151.47,0.21,,155.75,0.29,,,49.16,0.15,,41.52,0.12,,46.39,0.21,,,56.34,0.16,,74.41,0.15,,66.35,0.13
,,,189.88,0.2,,128.62,0.13,,154.27,0.21,,158.62,0.29,,,50.24,0.15,,42.47,0.12,,47.32,0.21,,,57.53,0.16,,75.81,0.16,,67.81,0.13
,,,193.22,0.2,,131.04,0.13,,157.08,0.21,,161.49,0.29,,,51.32,0.15,,43.41,0.12,,48.25,0.21,,,58.71,0.16,,77.21,0.16,,69.27,0.13
,,,196.56,0.2,,133.47,0.13,,159.89,0.21,,164.36,0.29,,,52.4,0.16,,44.36,0.12,,49.18,0.21,,,59.9,0.16,,78.6,0.16,,70.73,0.13
,,,199.9,0.2,,135.9,0.13,,162.69,0.21,,167.23,0.29,,,53.48,0.16,,45.31,0.13,,50.11,0.21,,,61.08,0.16,,80,0.16,,72.19,0.13
,,,203.24,0.2,,138.33,0.13,,165.5,0.21,,170.1,0.29,,,54.56,0.16,,46.28,0.13,,51.04,0.21,,,62.27,0.16,,81.4,0.16,,73.65,0.13
,,,206.58,0.2,,140.75,0.13,,168.31,0.21,,172.97,0.29,,,55.64,0.16,,47.24,0.13,,51.97,0.22,,,63.45,0.17,,82.8,0.16,,75.12,0.13
,,,209.92,0.2,,143.18,0.13,,171.12,0.21,,175.83,0.29,,,56.72,0.16,,48.16,0.13,,52.9,0.22,,,64.63,0.17,,84.2,0.16,,76.58,0.13
