Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,5.49,0,,5.02,0.26,,5.72,0
,,5.49,0,,5.02,0.27,,5.71,0
,,5.48,0,,5.01,0.27,,5.71,0
,,5.48,0,,5.01,0.28,,5.71,0
,,5.48,0,,5,0.28,,5.7,0
,,5.47,0,,5,0.29,,5.7,0
,,5.47,0,,5,0.3,,5.69,0
,,5.46,0,,4.99,0.3,,5.69,0
,,5.46,0,,4.99,0.31,,5.69,0
,,5.46,0,,4.98,0.31,,5.68,0
,,5.45,0,,4.98,0.32,,5.68,0
,,5.45,0,,4.98,0.33,,5.67,0
,,5.44,0,,4.97,0.33,,5.67,0
,,5.44,0,,4.97,0.34,,5.67,0
,,5.44,0.01,,4.96,0.35,,5.66,0
,,5.43,0.01,,4.96,0.35,,5.66,0
,,5.43,0.01,,4.96,0.36,,5.65,0
,,5.42,0.01,,4.95,0.36,,5.65,0
,,5.42,0.01,,4.95,0.37,,5.65,0
,,5.42,0.01,,4.94,0.38,,5.64,0
,,5.41,0.01,,4.94,0.38,,5.64,0
,,5.41,0.01,,4.94,0.39,,5.63,0
,,5.4,0.01,,4.93,0.4,,5.63,0
,,5.4,0.01,,4.93,0.4,,5.63,0
,,5.4,0.01,,4.92,0.41,,5.62,0
,,5.39,0.01,,4.92,0.42,,5.62,0
,,5.39,0.01,,4.92,0.42,,5.61,0
,,5.38,0.01,,4.91,0.43,,5.61,0
,,5.38,0.01,,4.91,0.44,,5.61,0
,,5.38,0.01,,4.91,0.45,,5.6,0
,,5.37,0.01,,4.9,0.45,,5.6,0
,,5.37,0.01,,4.9,0.46,,5.59,0
,,5.36,0.01,,4.89,0.47,,5.59,0
,,5.36,0.01,,4.89,0.47,,5.59,0
,,5.36,0.01,,4.89,0.48,,5.58,0
,,5.35,0.01,,4.88,0.49,,5.58,0
,,5.35,0.01,,4.88,0.49,,5.57,0
,,5.34,0.01,,4.87,0.5,,5.57,0
,,5.34,0.01,,4.87,0.51,,5.57,0
,,5.34,0.01,,4.87,0.52,,5.56,0
,,5.33,0.01,,4.86,0.52,,5.56,0
,,5.33,0.01,,4.86,0.53,,5.56,0
,,5.33,0.01,,4.85,0.54,,5.55,0
,,5.32,0.01,,4.85,0.54,,5.55,0
,,5.32,0.01,,4.85,0.55,,5.54,0
,,5.31,0.01,,4.84,0.56,,5.54,0
,,5.31,0.01,,4.84,0.57,,5.54,0
,,5.31,0.01,,4.83,0.58,,5.53,0
,,5.3,0.01,,4.83,0.58,,5.53,0
