Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,2.36,0.02,,,,,2.59,0.02
,,2.36,0.02,,,,,2.58,0.02
,,2.35,0.02,,,,,2.58,0.02
,,2.35,0.02,,,,,2.57,0.02
,,2.34,0.02,,,,,2.57,0.02
,,2.34,0.02,,,,,2.57,0.02
,,2.34,0.02,,,,,2.56,0.02
,,2.33,0.02,,,,,2.56,0.02
,,2.33,0.02,,,,,2.56,0.02
,,2.32,0.02,,,,,2.55,0.03
,,2.32,0.02,,,,,2.55,0.03
,,2.32,0.02,,,,,2.54,0.03
,,2.31,0.02,,,,,2.54,0.03
,,2.31,0.02,,,,,2.54,0.03
,,2.31,0.02,,,,,2.53,0.03
,,2.3,0.02,,,,,2.53,0.03
,,2.3,0.02,,,,,2.52,0.04
,,2.29,0.02,,,,,2.52,0.04
,,2.29,0.02,,,,,2.51,0.04
,,2.29,0.02,,,,,2.51,0.04
,,2.28,0.02,,,,,2.51,0.04
,,2.28,0.02,,,,,2.5,0.04
,,2.27,0.02,,,,,2.5,0.04
,,2.27,0.02,,,,,2.5,0.04
,,2.26,0.02,,,,,2.49,0.04
,,2.26,0.02,,,,,2.49,0.04
,,2.26,0.02,,,,,2.48,0.04
,,2.25,0.02,,,,,2.48,0.04
,,2.25,0.02,,,,,2.48,0.04
,,2.25,0.02,,,,,2.47,0.04
,,2.24,0.02,,,,,2.47,0.04
,,2.24,0.02,,,,,2.46,0.03
,,2.23,0.02,,,,,2.46,0.03
,,2.23,0.02,,,,,2.45,0.03
,,,,,,,,2.45,0.03
,,,,,,,,2.45,0.03
,,,,,,,,2.44,0.03
,,,,,,,,2.44,0.03
,,,,,,,,2.44,0.03
,,,,,,,,2.43,0.03
,,,,,,,,2.43,0.02
,,,,,,,,2.42,0.02
,,,,,,,,2.42,0.02
,,,,,,,,2.42,0.02
,,,,,,,,2.41,0.02
,,,,,,,,2.41,0.02
,,,,,,,,2.4,0.02
,,,,,,,,2.4,0.02
,,,,,,,,2.4,0.02
,,,,,,,,2.39,0.01
,,,,,,,,2.39,0.01
,,,,,,,,2.38,0.01
,,,,,,,,2.38,0.01
,,,,,,,,2.38,0.01
,,,,,,,,2.37,0.01
,,,,,,,,2.37,0.01
,,,,,,,,2.36,0.01
,,,,,,,,2.36,0.01
,,,,,,,,2.36,0.01
,,,,,,,,2.35,0.01
,,,,,,,,2.35,0.01
,,,,,,,,2.34,0.01
,,,,,,,,2.34,0.01
,,,,,,,,2.34,0.02
,,,,,,,,2.33,0.02
,,,,,,,,2.33,0.02
,,,,,,,,2.32,0.02
,,,,,,,,2.32,0.02
,,,,,,,,2.32,0.02
,,,,,,,,2.31,0.02
,,,,,,,,2.31,0.02
,,,,,,,,2.31,0.02
,,,,,,,,2.3,0.02
,,,,,,,,2.3,0.02
,,,,,,,,2.29,0.02
,,,,,,,,2.29,0.02
,,,,,,,,2.29,0.02
,,,,,,,,2.28,0.02
,,,,,,,,2.28,0.02
,,,,,,,,2.27,0.02
,,,,,,,,2.27,0.02
,,,,,,,,2.26,0.02
,,,,,,,,2.26,0.02
,,,,,,,,2.26,0.02
,,,,,,,,2.25,0.02
,,,,,,,,2.25,0.02
,,,,,,,,2.25,0.02
,,,,,,,,2.24,0.01
,,,,,,,,2.24,0.01
,,,,,,,,2.23,0.01
,,,,,,,,2.23,0.01
,,,,,,,,2.23,0.01
,,,,,,,,2.22,0.01
,,,,,,,,2.22,0.01
,,,,,,,,2.21,0.01
,,,,,,,,2.21,0.01
,,,,,,,,2.21,0.01
,,,,,,,,2.2,0.01
,,,,,,,,2.2,0
,,,,,,,,2.19,0
,,,,,,,,2.19,0
,,,,,,,,2.18,0
,,,,,,,,2.18,0
,,,,,,,,2.18,0
,,,,,,,,2.17,0
